topic_id,topic_count,topic_name,Representation,Representative_Docs
-1,37408,-1_украину_власти_россию_переговоры,"['украину', 'власти', 'россию', 'переговоры', 'конфликта', 'переговоров', 'украина', 'украины', 'людей', 'россией']","['Суть экономического блицкрига заключается в том, чтобы в максимально короткий срок ввести экономику в шоковое состояния, нокаут, который вызовет волнения внутри страны. Но для этого нужна протестная масса, люди, готовые в нужный момент выйти на улицу для начальной волны. Расчет Западных стран (и не только Западных), которые присоединились к санкциями против Москвы, был именно на это, и это должно было произойти в первые две недели конфликта в Украине, это не скрывалось, об этом открыто говорили и лидеры Запада, и Киев. Но группы, способные консолидировать протестную массу, были зачищены в РФ за год до конфликта, а часть массы и лидеры мнений рангом ниже покинули Россию в первую неделю конфликта. Протесты, которые были организованы в Москве в первую неделю конфликта по численности были настолько малы, что, кажется, даже Кремль был удивлен. Мы уже писали, что санкции, применяемые против РФ —беспрецедентные. Нет смысла говорить о том, как это влияет на экономику России, это ясно любому человеку, который хоть что-то понимает в экономике. Но держать такой уровень санкций просто невозможно, потому что рано или поздно, сторона, которая ввела санкции, начинает получать обратный эффект (в большей степени этому подвержен ЕС). Россия — это не Иран, не КНДР и Венесуэла, сравнивать санкции против Москвы и санкции против этих стран просто глупо. 30 лет экономика России интегрировалась в европейский рынок, а экономика ЕС интегрировалась в российский рынок и все это становилось важной частью мировой экономики. Строилась инфраструктура, предприятия, налаживались логистические и производственные цепочки, и тут речь не только про энергоресурсы, есть тысячи пунктов, по которым шло сотрудничество и торговля, как в одну сторону, так и в другую. И в данный момент все это прервано. Миром правят прежде всего экономические мотивы, это важно понимать, и не все готовы ввязываться в экономическую войну, тем более, если бенефициарами войны они не являются: нейтралитет Китая, а также готовность других стран покупать российские энергоносители говорят о том, что тотальная торговая блокада РФ вряд ли возможна. Переговоры Вашингтона с Венесуэлой провалились, Саудиты и ОПЕК тоже отказались оказать поддержку санкционному треку. Более того, Киев формально не объявил войну России, транзит российского газа в Европу через территорию Украины продолжается, Киев предлагает Европе отказаться от энергоносителей из РФ, но сам не спешит закрывать транзит. Американские клиенты продолжают получать платежи из России в долларах, глава Deutsche Bank Кристиан Зевинг выступил против остановки газопровода «Северный поток – 1» и призвал не спешить с введением новых санкций в отношении России, поскольку они негативно сказываются и на тех, кто их объявляет, уже после начала конфликта на Украине страны Евросоюза выплатили России более 16 млрд $ за поставленные в Европу российскую нефть, газ и уголь. Про компании и бренды, которые громко хлопнули дверью и ушли — мы уже писали, большинство из них оставили форточку открытой, чтобы в скором времени вернуться, часть вообще передумала и уже вернулась, а некоторые, кто не стал идти на поводу общественного и информационного давления, — вообще отказались уходить и продолжили полноценную деятельность. Именно поэтому, цель экономического блицкрига — негативный краткосрочный эффект для повышения социального напряжения в обществе и для этого использовались практически все средства. Блицкриг сейчас на пике, идет игра на измор, да, у Запада остались еще санкции, да и не все санкции вступили в полную силу, но те санкции, которые остались, это «экономическая атомная бомба», если их ввести — мировую экономику затрясет с невиданной силой, а, как мы ни раз отмечали, в санкционной пехоте будет именно ЕС и эпицентр «землетрясения» будет именно там, и весь расчет будет на экономическую капитуляцию Москвы в короткие сроки, но остается все тот же важнейший элемент для реализации этой стратегии запада — реакция российского общества. Телеграм канал: @togarma301', '⚡️⚡️⚡️⚡️Главное препятствие для переговоров и «приключения» британца на Украине Newsweek (США). «Государства — члены НАТО замышляют отстранить Владимира Зеленского от власти, дискредитировав его, а затем провести выборы для смены руководства в раздираемой конфликтом стране, заявила в понедельник российская Служба внешней разведки. В СВР говорят, что альянсом движет неопределенность относительно дальнейшей военной помощи Киеву со стороны новой администрации США во главе с президентом Дональдом Трампом. НАТО надеется заморозить конфликт, однако главным препятствием на пути реализации плана остается Зеленский, говорится в сообщении. В субботу спецпредставитель Трампа по Украине и России Кит Келлог заявил агентству Reuters, что Вашингтон требует от Киева проведения выборов до конца года, поскольку ""в большинстве демократических стран они проводятся и во время войны. Важно, чтобы они [украинские власти] это сделали. Демократии это пойдет на пользу. Прелесть прочной демократии в том, что баллотироваться может более одного человека"", — сказал Келлог. Путин тем временем заявил, что Зеленский не имеет права подписывать документы в рамках потенциальных мирных соглашений, поскольку потерял легитимность». The Sun (Великобритания). «У британского подростка-добровольца Джеймса Уилтона ""не было ни единого шанса"" выжить после атаки российского беспилотника в ходе боевых действий на Украине, как рассказал его лучший друг. 18-летний новобранец погиб, убегая от трех дронов. Джеймс прилетел из Манчестера четыре месяца назад в возрасте 17 лет, чтобы присоединиться к ВСУ, несмотря на отсутствие боевого опыта, а погиб всего через несколько минут после начала своей первой миссии. Отец Джеймса Грэм вчера сказал The Sun: ""Мне это никогда не пережить. Я не хотел, чтобы он уезжал, но так ему подсказывало сердце. Он хотел помочь Украине. Мне рассказывают обрывки истории о том, как он умер, но я никак не могу смириться и жалею, что мы не можем поменяться местами, потому что у него вся жизнь была впереди."" Advance (Хорватия). «Дональд Трамп повторил прежние слова о том, что Россия не начала бы спецоперацию на Украине, если бы он стоял у власти, и то же в прошлом месяце повторил Владимир Путин в интервью российским государственным СМИ. Тот факт, что Путин повторяет мнение Трампа, крайне любопытен. Можно ли из этого сделать вывод, что это правда, или Путин только хочет сказать то, что Трампу приятно услышать? На самом деле многое указывает на то, что так оно и есть, и Путин и Трамп, пожалуй, все-таки по-разному представляют себе вариант, при котором конфликт не начался бы. Дональд Трамп настаивает на том, что Россия не решилась бы начать спецоперацию на Украине, будь он в тот момент президентом, а Кремль подчеркивает, что в ""этом не было бы необходимости"". Вероятно, ее действительно не было бы, так как вряд ли Трамп (если бы все зависело только от него) так рьяно тащил бы Украину в НАТО, как буквально до последнего дня это делал Джо Байден (даже удивительно, что перед самым уходом из Белого дома он не направил Киеву приглашение!)». Капрал ⚡️⚡️⚡️⚡️⚡️для @sashakots', 'Профессор в области международных отношений Колледжа Гамильтона (США) Алан Кафруни – специально для «Евразия.Эксперт» о российско-американских переговорах по украинскому конфликту Встреча, состоявшаяся в Эр-Рияде, носила преимущественно разведывательный характер и стала первой в запланированной серии переговоров, которые могут продолжиться в ближайшее время. Ожидается, что они завершатся на высшем уровне, приведя не только к мирному урегулированию конфликта в Украине, но и к более широкому пересмотру двусторонних российско-американских отношений в контексте новой архитектуры безопасности в Европе. Украинские и европейские официальные лица на встрече не присутствовали. Переговорам предшествовал ряд примирительных заявлений. В частности, Дмитрий Песков предложил «восстановить весь комплекс российско-американских отношений», а Госдепартамент США заявил о готовности «снизить уровень раздражителей в двусторонних отношениях», включая снятие ограничений с российских дипломатических миссий и сотрудничество в области взаимных экономических инвестиций. При этом Россия подтвердила ряд принципиально важных условий урегулирования. Так, Мария Захарова категорически исключила возможность территориальных уступок и подчеркнула, что НАТО должно отказаться от решения 2008 г. о перспективе членства Украины. Владимир Путин заявил о необходимости «устранения коренных причин» конфликта. Российские требования остаются неизменными с момента срыва переговоров в Стамбуле в марте 2022 г. Они включают нейтральный статус Украины и ее отказ от вступления в НАТО, ограничения на численность ее вооруженных сил, защиту прав русскоязычного населения, а также признание присоединения к России контролируемых ею территорий. Заявления Дональда Трампа, которые подтвердил глава Пентагона Пит Хегсет на Мюнхенской конференции по безопасности, фактически поддерживают эти условия, хотя возможны ограниченные корректировки в рамках общего формата соглашения. Также существует вероятность, что Россия потребует вывода войск НАТО с территории бывших советских республик. Чем дольше продолжаются переговоры, тем сильнее становится позиция России на фоне ее военных успехов. Хотя российская экономика в целом устойчива к западным санкциям, США по-прежнему обладают рычагами давления, особенно в нефтяном секторе. Евросоюз, который практически отстранен от переговорного процесса, также сохраняет возможность конфискации российских активов. Однако на данном этапе такой шаг может нанести больше ущерба самой Европе, чем повлиять на ход конфликта. Вероятно, экономические аспекты станут важной частью общего соглашения. Очные переговоры между Трампом и Путиным, скорее всего, состоятся только после достижения предварительной договоренности по ключевым вопросам. Одним из важных аспектов станет роль Европейского союза. После первой встречи американские переговорщики сделали ряд заявлений, позволяющих европейцам сохранить лицо, заверив их в том, что они будут вовлечены в финальный этап урегулирования. Однако сам факт исключения ЕС из переговоров подчеркивает его экономическую и военную слабость, а также зависимость от США. После Мюнхенской конференции президент Франции Эммануэль Макрон в экстренном порядке созвал совещание, но каких-либо реальных решений принято не было. Его предложение о создании европейской миротворческой миссии поддержали лишь Великобритания и Швеция. В любом случае, Россия категорически отвергнет присутствие сил НАТО в Украине. Москва согласилась с возможностью вступления Украины в ЕС, но этот процесс займет долгие годы и вызовет серьезные разногласия внутри самого Европейского союза. Однако, несмотря на слабость Европы, ее согласие с итоговым мирным соглашением поможет укрепить его легитимность и усилит давление на Зеленского, который теряет поддержку внутри страны.']"
0,3546,0_российские войска_беспилотников_дронов_военные,"['российские войска', 'беспилотников', 'дронов', 'военные', 'фронте', 'украинских', 'фронта', 'власти', 'конфликта', 'войска']","['#Сводка на утро 1 декабря 2025 года 🗞Вызов на ковер в Майами 🇺🇸украинской переговорной делегации с Умеровым 🇺🇦во главе вместо уволенного серого кардинала украискной политики Ермака был прокомментирован Трампом: «У Украины есть серьёзные проблемы. У них есть коррупционная ситуация, которая не идёт им на пользу». Нас следующей неделе Уиткофф прибудет в Кремль, а для России главный пендос не намерен устанавливать дедлайн по завершению конфликта, что явно не в пользу ВСУ. ▪️В Ленинградской области под утро над Киришским районом уничтожено несколько БПЛА. В Севастополе вечером в результате атаки ВСУ осколками от сбитой воздушной цели тяжело ранена 15-летняя девочка, сообщалось о применении пкр «Нептун». В Краснодарском крае в Северском районе обломки БПЛА повредили три частных дома, вчера утром повреждения мирных домов зафиксированы в Славянске-на-Кубани и Анапе, также на территории Славянского НПЗ повредило газовую трубу. Ночью в Ростовской области БПЛА уничтожены в Азовском, Мясниковском и Миллеровском районах. Люди не пострадали. В Смоленской области сбит один украинский дрон. ▪️ВС России ночью били по Павлограду, Чернигову, Днепропетровской области. «Герани» традиционно применялись и в полосе наступления ГрВ «Север» для ударов по позициям ВСУ. ▪️На Сумском направлении противник наращивает число расчетов БПЛА в Сумской области с целью сдержать наступление ГрВ «Север». Уничтожены штурмовые группы ВСУ в районе Степового (Ленинского) и Кондратовки. На Теткинском и Глушковском участках артиллерия и БПЛА ВС России били по ВСУ у Павловки. ▪️ В Белгородской области в Грайвороне в результате детонации FPV-дрона женщина получила баротравму. В Глотово дрон атаковал движущийся автомобиль, ранены двое. Там же утром ранен еще один гражданский. В Берёзовке дрон убил двух мужчин в автомобиле. В селе Мощеное FPV-дрон сдетонировал на территории частного дома, житель получил множественные ранения. Под ударами Дорогощь, Шаховка, Шебекино, Отрадное. ▪️На Харьковском направлении в районе Волчанска и окрестностей ГрВ «Север» применяет ТОС для ликвидации остатков обороны ВСУ. Есть продвижение в юго-восточной части города и лесном массиве, а также в районе Лимана и в Вильче. На участке Меловое-Хатнее в районе н.п. Черняков уничтожен командный пукт пограничной боевой комендатуры ГПСУ. На Липцовском участке позиционные бои и удары дронами. ▪️Северо-западнее Красного Лимана ГрВ «Запад» перерезает ж/д пути в город у Яровой, достигнув берега реки Северский Донец. У Красного Лимана ВСУ предприняли безуспешную контратаку северо-восточнее города. ▪️На Покровском (Красноармейском) направлении противник признает наши успехи в промзоне на северо-западной окраине города. ▪️ГрВ «Восток» продолжает наступление на востоке Днепропетровской и Запорожской областей. Бои иду на широком фронте: у Гая, в направлении Доброполья, в направлении Варваровки, сообщают о закреплении наших у Гуляйполя. ▪️ На Запорожском фронте наши дроны действуют уже за Приморским в районе Малокатериновки. ▪️ По Херсону артиллерия 18 ОА ГВ ""Днепр"" нанесла массированный ракетный удар по местам скопления живой силы противника и точкам активной работы систем РЭБ, систем мониторинга воздушного пространства. Сводку составили: Два майора', '🇷🇺🇺🇦 День Z: обстановка на 15.00 🔹 Российские ВКС и ракетные войска продолжают наносить удары по объектам по всей стране, поражен штаб ГУР в Киеве. В небе работает российская штурмовая авиация. Над территорией Украины образовалась бесполетная зона для гражданской авиации. 🔹Официальный представитель МО РФ Игорь Конашенков сообщил о контрнаступлении войск ДНР и ЛНР на отдельных участках фронта и добавил, что целью российских атак становятся только районы сосредоточения войск. 🔹 Президент Владимир Зеленский заявил о разрыве дипломатических отношений с Россией и призвал к масштабным протестам против военной операции. 🔹 Развернутые в Крыму подразделения российской армии пересекли границу и вошли на территорию Херсонской области. Они установили контроль над Каховской ГЭС. Очевидцы засняли брошенные колонны ВСУ на подступах к полуострову. Украинская оборона на этом участке рухнула. 🔹 На окраинах второго по численности населения города страны Харькова идут бои с применением бронетехники. Украинские медиаресурсы сообщили о пленении двух российских военнослужащих, однако их документы не показали. ВСУ отбили один постов на въезд в город. 🔹 В Киевской области у аэродрома Гостомель замечены вертолеты, которые нанесли удар по воинской части. По ним были осуществлены пуски зенитных ракет: сбито несколько вертолетов. Жители сообщили о пролетающих над столицей страны российских истребителях. Подбит один вертолет Ка-52. 🔹 Российские части также вошли на территории Сумской области и взяли город Путивль. ВСУ уничтожают мосты с целью замедлить продвижение войск РФ. В сети появляются кадры со сдающимися в плен украинскими военнослужащими, хотя пока явление не носит массовый характер. 🔹 Украинские пропагандисты активно распространяют фейки о российских потерях, выдавая видео семилетней давности за новые и кадры из компьютерных игр за реальные. 🔹 Самолеты дальней радиолокационной разведки стран НАТО активно действуют из воздушного пространства Польши. 🔹 В Кремле заявили о возможностях переговоров с Украиной о ее нейтральном статусе и отказа от размещения вооружений в случае ее ответной готовности. На текущий момент: 🔻 Украинские войска понесли большие потери в авиации и ПВО. Уничтожены не все самолеты и комплексы противовоздушной обороны: опасность по-прежнему представляют ПЗРК, с помощью которых удалось поразить несколько вертолетов. 🔻 Наибольшее продвижение зафиксировано в Херсонской области, где рухнула оборона на перешейке. Самые тяжелые бои идут в окрестностях Харькова, где российские войска понесли потери. 🔻 Операция будет продолжаться: после первых боев вскрываются основные узлы обороны и места сосредоточения войск ВСУ. Они станут целей новых ударов. Сводка о состоянии на 12.00. #Россия #Украина @rybar', '#Сводка на утро 30 октября 2025 года ▪️ Вчера Верховный 🇷🇺сообщил о проведении испытания подводного безэкипажного аппарата «Посейдон» (беспилотный подводный аппарат, оснащённый ядерной энергоустановкой и несущий ядерный боезаряд, обладает неограниченной дальностью). Медведев заявил, что «Посейдон» может рассматриваться как оружие судного дня и написал: «Поздравляю всех друзей России (и особенно - имбецила министра обороны Бельгии🇧🇪) с успешным испытанием». Трамп🇺🇸 перед встречей с главой КНР🇨🇳 сделал заявления в соцсетях о необходимости проведения США ядерных испытаний. Премьер Венгрии🇭🇺 Орбан выступил за диалог с Россией, а премьер–министр Словакии🇸🇰 отказался гарантировать финансирование военных расходов Украины в 2026 и 2027 годах. Конгрессмен США Анна Паулина Луна организовать в Вашингтоне конференцию для консервативных пронационалистических лидеров ЕС. ▪️ ВС России нанесли ночью комбинированный удар по территории противника. Под утро «Кинжалом» вдарили по Ладыжинской ТЭС в Винницкой области. «Калибры» и «Искандеры» били по объектам в г. Запорожье и Днепропетровске. Часть ракет ударила по объекту в Черкасской области. В ударе участвовали стратегические ракетоносцы Ту-95мс. Ракетное вооружение также было применено по Одесской области. Противник насчитал более 100 «Гераней» за ночь, в Киеве отмечались перебои с электроснабжением. Также «На Львовщине и Ивано-Франковщине перебои со светом», - пишут вражеские каналы, местные власти подтвердили повреждения инфраструктурных объектов. К 7.00 (мск) налёт продолжался. ▪️ На севере Ростовской области уничтожены БПЛА ВСУ, в хуторе Касьяновка Чертковского района выбиты окна в двух частных домах. Сбито не менее 6 БПЛА, летевших на Москву. Сбиты БПЛА в Волгоградской области, повреждена вышка сотовой связи. 10 взрывов было слышно над Рязанью. ▪️ На Сумском направлении ГрВ «Север» ведёт тяжелые бои. Авиация, артиллерия и расчеты ТОС-1А Северян продолжали работать по скоплениям живой силы и техники ВСУ. Противник активных действий не предпринимал, восстанавливает боеспособность и перегруппировывается. На Теткинском и Глушковском участках фронта без изменений. Наши бьют по ВСУ в районе Рогозного и Рыжевки. ▪️ В Белгородской области в Шебекино от ударов FPV-дронов по производственному предприятию погиб мужчина, еще трое – ранены. В селе Замостье дрон атаковал коммерческий объект, пострадали две женщины. В селе Нижнее Берёзово-Второе Шебекинского округа FPV-дрон сдетонировал о землю, ранен мужчина. В селе Новая Таволжанка ранены двое гражданских. Под ударами Ясные Зори, Максимовка, Безлюдовка, Белянка, Грайворон, Гора-Подол, Головчино, Бессоновка, Илёк-Кошары, Борки, Замостье. В селе Борисовка дрон ВСУ атаковал храм Благовещения Пресвятой Богородицы. ▪️ На Харьковском направлении ГрВ «Север» при поддерже тяжелых огнеметных систем и авиации расширяют зону контроля в Волчанске. Противник оказывает ожесточенное сопротивление, тянет подкрепления. Идут бои в лесу западнее Синельниково. На участке фронта Меловое-Хатнее наши продвинулись на 700 м, отразив две контратаки ВСУ в районе Отрадного. Взяты в плен два военнослужащих 159 омбр. ▪️ Насчёт Купянска Минобороны России сообщило, что продолжается уничтожение группировки ВСУ в районе города. Пресечены две безуспешные контратаки 92-й штурмовой бригады ВСУ, пытавшейся деблокировать окруженные силы противника. ▪️ Ситуация в Покровске (Красноармейске) для ВСУ становится критической, что вынуждены признать в Киеве. Гарнизон этого города и Мирнограда (Димитрова) лишен нормального снабжения, остается один логистический коридор для удержания которого ВСУ задействуют крупные силы. ВС России в Покровске действуют в районе ж/д вокзала, мкр Железнодорожный и закрепляются в промзоне. ▪️ ГрВ «Восток» взяла Вишневое Днепропетровской области – 5й населенный пункт только за неделю в полосе своего наступления. ▪️ На Запорожском фронте у Новоданиловки, Малой Токмачки, Степногорска и Приморского идут тяжелые бои. ▪️ На Херсонском направлении наши били по о. Карантинный и н.п. Львово, в т.ч. ФАБ с УМПК. Сводку составили: Два майора']"
1,2415,1_провел совещание_совещание_совещание членами_совета безопасности,"['провел совещание', 'совещание', 'совещание членами', 'совета безопасности', 'оперативное', 'видеосвязи', 'заседание', 'обсудил', 'брифинге', 'постоянными членами']","['❗️Президент провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности', 'Владимир Путин в Кремле провёл по видеосвязи оперативное совещание с постоянными членами Совета Безопасности', '🇷🇺 Владимир Путин по видеосвязи провёл оперативное совещание с постоянными членами Совета Безопасности Подписаться на канал']"
2,1603,2_зампред рф_зампред россии_заявил зампред_дмитрий прокомментировал,"['зампред рф', 'зампред россии', 'заявил зампред', 'дмитрий прокомментировал', 'дмитрий заявил', 'зампред', 'безопасности россии', 'ядерное', 'зампредседателя', 'вооружений']","['Медведев снова показал ракеты — зампред Совбеза РФ посетил их производство Зампред Совбеза РФ Дмитрий Медведев заявил, что наши ВС регулярно и в полном объеме получают ракеты разных типов. А поставки всех видов ВВСТ вырастут в следующем году. Сегодня он посетил АО «ГосМКБ “Радуга” им. А.Я.Березняка», где их производят, а также показал модели снарядов. «Это позволит нанести власти украинских неонацистов, которых раскормила своим оружием разнообразная западная сволочь, сокрушительное поражение», — отметил зампред Совбеза.', '❗️Размещение в Польше ядерного оружия грозит его применением, предупредил. Зампред Совбеза РФ Дмитрий Медведев', '✍️ Дмитрий Медведев печатает']"
3,1105,3_правительство рф_правительства_премьер министр_председатель правительства,"['правительство рф', 'правительства', 'премьер министр', 'председатель правительства', 'правительство', 'глава правительства', 'будут получать', 'заявил премьер', 'обеспечению', 'млрд рублей']","['Кабмин РФ выделит более 10 млрд рублей на поддержку неработающих пенсионеров — Мишустин Также премьер-министр заявил, что правительство направит еще 45,5 млрд руб на реализацию льготных ипотечных программ: семейную, дальневосточную и льготную. Что еще заявил премьер-министр Михаил Мишустин во время заседания кабмина: — Эксперимент по дистанционной торговле рецептурными лекарствами предполагается начать в марте 2023 года в трех регионах; — Школы, больницы, спорткомплексы можно будет строить по упрощенной процедуре, что ускорит их возведение на год; — Правительство РФ поддерживает проект закона о дистанционной продаже рецептурных лекарств.', 'Правительство России выделит более 750 миллионов рублей ДНР, ЛНР, Запорожской и Херсонской областям для закупки медицинского оборудования. «Рассчитываем, что государственное финансирование ускорит обновление инфраструктуры в поликлиниках и больницах этих регионов, позволит расширить возможности высокотехнологичной помощи и, что самое важное, повысить ее доступность, чтобы жители городов и небольших населенных пунктов могли своевременно проходить необходимое обследование», – сказал премьер-министр РФ Михаил Мишустин. Правительство РФ направит Курской области более 900 млн рублей на приобретение 37 блочно-модульных котельных для прохождения отопительного сезона, сообщил премьер-министр Михаил Мишустин на заседании кабмина РФ.', '❗️Правительство РФ в 2024 году направит 100 млрд рублей на модернизацию коммунальной инфраструктуры в регионах. Соответствующее распоряжение подписал премьер-министр РФ Михаил Мишустин.']"
