trigger,guard,count,examples
prezident,country:США,16877,"[""Сообщают, что администрация президента США Дональда Трампа в своей заявке оборонного бюджета на 2027 финансовый год запрашивает беспрецедентную закупку 857 противоракет Talon дл..."", ""Трамп пожелал лично выбрать нового лидера Ирана Сын убитого Верховного лидера Ирана неприемлем в качестве его преемника, заявил президент США. Он пояснил, что необходим такой ка..."", ""Примечательно, что свою СВО против Ирана Трамп начал в субботу, когда фондовый рынок закрыт. Чтобы не упал резко. К понедельнику шок уже будет не такой сильный. Такой подход воо..."", ""Маск предлагает бесплатно установить Starlink в Иране, пока там нет интернета SpaceX Илона Маска теперь предлагает бесплатный Starlink спутниковый сервис в Иране на фоне смертон..."", ""09.01.2026 Москва, Россия. Официальное заявление МИД Российской Федерации по факту освобождения США двух граждан России из состава экипажа ранее захваченного США в Северной Атла..."", ""‼️🇺🇸 [Donald J. Trump] ⨯ ВНИМАНИЕ всем подрядчикам оборонной промышленности США и всей отрасли в целом: хотя мы производим лучшее военное оборудование в мире (никакая другая стр..."", ""22 декабря 2025 года президент США Дональд Трамп объявил о плане строительства для ВМС США нового типа больших надводных боевых кораблей, которые он назвал «линейными кораблями»..."", ""Опубликованные на официальном сайте ВМС США схематические изображения и предварительные характеристики объявленного президентом США Дональдом Трампом запланированного к постройк...""]"
prezident,foreign_leader,15830,"[""Сыновья Трампа инвестируют в новую компанию по производству дронов, нацеленную на продажи Пентагону Компания Powerus заявляет, что планирует приобрести украинские технологии для..."", ""Пентагон меняет подход к ведению бизнеса. Надо самим, много и вовремя 🔔Аналитический центр КЦПН перевёл материал с ресурса The War Zone, посвящённый фундаментальным изменениям, ..."", ""Кадры захвата очередного ставшего российским танкера Veronica, недавно сменившего название на Galileo («Галилео»), получившего регистрацию в России и порт приписки Таганрог по с..."", ""‼️🇺🇸 [Donald J. Trump] ⨯ ВНИМАНИЕ всем подрядчикам оборонной промышленности США и всей отрасли в целом: хотя мы производим лучшее военное оборудование в мире (никакая другая стр..."", ""19 декабря 2025 года морской министр США Джон К. Фелан и CNO (командующий) ВМС США адмирал Дэрил Кодл объявили, что новый тип перспективного фрегата FF(X) для ВМС США будет пост..."", ""RAND: Что будет с НАТО, если США уйдут из Европы? 🌐Несмотря на то, что Rand Corporation позиционируют себя как «независимую американскую исследовательскую организацию», они всег..."", ""Прочитал в канале Proeconomics, что Бразилия тратит на научные исследования больше Российской Федерации. «Россия принадлежит к небольшой группе стран с низкими (около 1% ВВП) и,..."", ""Итак, по данным товарища НГШ, в Покровске заперты \""в том числе\"" (интересная формулировка, снимающая массу вопросов) семь бригад (25 овдбр, 79 одшбр, 68 оебр, 35 обрмп, 38 обрмп,...""]"
verkhovn,rada_lider_komissar_sud,15018,"[""СМИ: «\""Верховный суд\"" т.н. Украины признал отношения однополой пары \""семьёй\""» (Движение ЛГБТ запрещено в России) Кейс про \""наследников Киевской Руси\"" и \""традиционную европейскую..."", ""Трамп пожелал лично выбрать нового лидера Ирана Сын убитого Верховного лидера Ирана неприемлем в качестве его преемника, заявил президент США. Он пояснил, что необходим такой ка..."", ""Вы видели снимки страшной трагедии в иранском городе Минаб: американская или израильская ракета попала в начальную школу для девочек. Погибли около 180 человек — преимущественно..."", ""Есть мнение, что после окончания СВО никакие гайки не раскрутят. А наоборот, будет сплошная Северная Корея, с чебурнетом, официозом, уравниловкой и ядерными ракетами. А я в корн..."", ""Ну вот уже. Вместо одного верховного лидера, которого точно грохнут, выбрали целый совет. Который щас децентрализуется и который весь не перебьешь единоразово. Пытаться будут, к..."", ""Будет очень любопытно посмотреть на трансфер власти в Иране путем убийства тамошних высших госдедов евреями. Жаль, что страна закрытая слишком, непонятно че там внутри происходи..."", ""❗️Критика политиков и национальных обычаев не должна считаться правонарушением — Верховный суд РФ Критика политических и религиозных объединений, а также публичных деятелей не д..."", ""❗️Критика политиков и национальных обычаев не должна считаться правонарушением — Верховный суд РФ Критика политических и религиозных объединений, а также публичных деятелей не д...""]"
prezident,country:Украина,9789,"[""Пресс-служба президента Украины Владимира Зеленского сообщила, что в ходе его визита в Германию, помимо прочего, состоялось подписание шести новых соглашений о сотрудничестве Ге..."", ""На Украине начались процессы продвижения Михаила Фёдорова, министра обороны, в качестве кандидата в президенты Украины"", ""У масштабного антикриза и веры в договорнячок по Венесуэле один корень. Через несколько дней стукнет уже 1418 дней ходу СВО, что сравняет ее по длительности с Великой Отечествен..."", ""Интересная новость от СВР России: Представители США и Британии недавно организовали встречу в Альпах с участием Ермака, Буданова и Залужного, чтобы обсудить замену Зеленского. С..."", ""⚡️США и Британия на тайной встрече решили выдвинуть Залужного на пост президента Украины, заявили в СВР РФ. Участники встречи сошлись во мнении, что вопрос замены Зеленского наз..."", ""Президент Украины Владимир Зеленский своим указом назначил новым командующим Сил беспилотных систем ВСУ широко известного \""Мадяра\"" (Роберта Бровди, фото) - основателя и командир..."", ""Американский сенатор Линдси Грэм по итогам визита президента Украины Владимира Зеленского в США в интервью \""Голосу Америки\"" назвал войну на Украине \""хорошей инвестицией\"" для Аме..."", ""Президент Украины Владимир Зеленский заявил о создании на Украине барражирующего боеприпаса с дальностью полета 3000 км. Зеленский сказал, что \""есть хорошие новости относительно...""]"
prezident,foreign_adj,7344,"[""Украина – фабрика пафоса. Разбор врагом собственной медийки 🔔Аналитический центр КЦПН перевёл любопытный материал вражеских аналитиков, которые пытаются трезво оценить уровень в..."", ""США перебрасывают комплексы Patriot с Южной Кореи на Ближний Восток. Президент южнокорейской республики уже заявил, что он категорически против, но помешать этому не может. БС в..."", ""Игорь Стрелков о покушении на генерал-летейнанта Алексеева Покушение на Владимира Степановича Алексеева, которого я в своё время неплохо знал по совместной службе, само по себе ..."", ""Из интересного: в Турецкой республике северного Кипра прошел «Съезд тюркской молодёжи», на котором засветились участники российских регионов: Чувашия, Татарстан, Астраханская об..."", ""Игорь Стрелков о стратегии США в российско-украинском конфликте На самом деле, гадать, что предложит Трамп завтра или послезавтра, в зависимости от того, что он сочтет сроком св..."", ""В Штатах пишут, что новым советником Трампа по нацбезопасности вероятно станет очень колоритный и разносторонний персонаж - консервативный публицист итальянско-ливанского происх..."", ""«Американский президент Дональд Трамп заявил в воскресенье, что США практически возобновили предоставление Украине разведданных». Самый лучший способ быстро «возобновить» переда..."", ""Заявление Эрдогана о присоединении к Турции сирийских провинций оказалось неправильно переведено. На сайте турецкого президента в опубликованной стенограмме выступления данное з...""]"
prezident,office_of_president,5687,"[""Михаил Фёдоров станет новым МО Украины? Справка и сбывшийся прогноз КЦПН Аналитический центр КЦПН ещё 1 апреля 2025 года при переводе интервью Марии Берлинской и командира 429-г..."", ""⚡⚡⚡26-летний комбриг. Противник ставит на молодость и энергию. Украинский тг-канал ЗеРада сообщает интересные новости об особенностях кадровой политики ВСУ на местах: «Офис през..."", ""#ЧёТамУХохлов #ХохлаСпроситьЗабыли 😅Миллиард на снаряды для Украины - в трубу Недавно мы публиковали перевод статьи в Financial Times с расследованием о том, как Украина потерял..."", ""Что касается боёв в Курской области, то там нет теории заговора, а есть куда более конкретная военная ситуация. — Этап первый. У ВСУ были собраны резервы в виде нескольких брига..."", ""Наталья Мосейчук взяла интервью у Ксении Собчак по указанию Ермака Собчак дала интервью «Право на власть» 3 февраля 2022 года по просьбе главы ОПУ Андрея Ермака. Об этом Собчак ..."", ""Наталья Мосейчук взяла интервью у Ксении Собчак по указанию Ермака Собчак дала интервью «Право на власть» 3 февраля 2022 года по просьбе главы ОПУ Андрея Ермака. Об этом Собчак ..."", ""А офис президента украины показал что их танк подбили? А укропы доложили чем? А офис президента в курсе про бмп и участь десанта? Я б им показал кинцо. Качественное))) Но низзя)..."", ""А офис президента украины показал что их танк подбили? А укропы доложили чем? А офис президента в курсе про бмп и участь десанта? Я б им показал кинцо. Качественное))) Но низзя)...""]"
prezident,country:Франция,2788,"[""❗️Евросоюз на саммите 6 марта может предоставить Украине финансирование на сотни млрд евро, заявил президент Франции Макрон в интервью газете La Tribune."", ""Гостенков П. А. Франко-русский союз и несостоявшаяся морская война с Англией // Хронотоп войны: пространство и время в культурных репрезентациях социального конфликта: материалы..."", ""Много сейчас развелось ругальщиков и критиков наших адмиралов и генералов. Какой только ереси не пишут в сети про них. А Вы представляете, как они связаны по рукам более высшим ..."", ""🇵🇱🇫🇷🇺🇦 Президент Франции Эммануэль Макрон завтра приедет в Польшу, чтобы обсудить план европейской миротворческой миссии, которая должна сохранить суверенитет т.н. Украины в рам..."", ""🇵🇱🇫🇷🇺🇦 Президент Франции Эммануэль Макрон завтра приедет в Польшу, чтобы обсудить план европейской миротворческой миссии, которая должна сохранить суверенитет т.н. Украины в рам..."", ""🇵🇱 Глава МИД Польши Сикорский выступил против получения странами ЕС ядерного оружия «Я скептично отношусь к разговорам об этом. Получение ядерного оружия — рискованная идея, вед..."", ""Макрон назвал шутку Трампа об ударе в челюсть неэлегантной и недостойной Президент Франции Эммануэль Макрон назвал выпады со стороны Дональда Трампа «неэлегантными и недостойным..."", ""⚡️Дональд Трамп сделал ряд громких заявлений на пресс-конференции в Овальном кабинете, касающихся международной политики и союзников США. По его словам, Украина могла бы потерпе...""]"
vvp,econ_context,2289,"[""Сегодня сверхразумы из Минцифры устроили глобальный сбой банковских приложений и систем оплаты картами. Народ бросился к банкоматам, снимать наличку. А теперь следите за руками:..."", ""Россия сократила выработку электроэнергии, сообщает Росстат. Главное для России сейчас - охладить экономику и побороть инфляцию! Население и бизнес приказ главы ЦБ России исполн..."", ""Россия сократила выработку электроэнергии, сообщает Росстат. Главное для России сейчас - охладить экономику и побороть инфляцию! Население и бизнес приказ главы ЦБ России исполн..."", ""Россия сократила выработку электроэнергии, сообщает Росстат. Главное для России сейчас - охладить экономику и побороть инфляцию! Население и бизнес приказ главы ЦБ России исполн..."", ""Прочитал в канале Proeconomics, что Бразилия тратит на научные исследования больше Российской Федерации. «Россия принадлежит к небольшой группе стран с низкими (около 1% ВВП) и,..."", ""Комментарий: Новиопы скажут, что оно не нужно так как всех артой и дронами сейчас убивают. Да и вообще у нас Буревестник и Посейдон, так и что стрелять ни в кого не надо. Отвеча..."", ""Немного прохладного душа из фактов и цифр для перегретых идеей, что 'Россия полностью приспособилась к санкциям и они ей нипочём': В июне суммарное отклонение фактически получен..."", ""Открыл вчера телеграм, а тут лента новостей прям одна за другой: 🇵🇱 Польша первой в НАТО после США понимает военные расходы почти до 5% ВВП — в 2025 году потратят $50 млрд проти...""]"
prezident,country:Турция,2094,"[""Как сообщили турецкие СМИ, 19 сентября 2025 года на турецком частном судостроительном предприятии Dearsan Shipyard в Тузле в азиатской части Стамбула состоялась церемония первой..."", ""В ходе 17-й международной выставке оборонной промышленности IDEF 2025 в Стамбуле была представлена баллистическая ракета Tayfun (Block-4) от турецкой компании Roketsan. Согласно..."", ""НАСТОЯЩАЯ ИСТОРИЯ ПОЯВЛЕНИЯ ПАРАНДЖИ. ХОРОШО БЫ ЗНАТЬ ЕЁ ТЕМ, КТО СЕЙЧАС ПАРАНДЖУ НОСИТ - МОЖЕТ, ОДЕВАЛИСЬ БЫ ИНАЧЕ... Паранджa происходит из культа Астарты в древней Месопотами..."", ""Сообщается, что 8 марта 2024 года в ходе визита в Турцию президент Украины Владимир Зеленский посетил судостроительную верфь RMK Marine в Тузле (южная окраина азиатской части Ст..."", ""19 января 2024 года на церемонии на турецком судостроительном предприятии Sefine Shipyard в Ялове на азиатском побережье Мраморного моря состоялся официальный ввод в состав воен..."", ""Как сообщается, на состоявшемся 3 января 2024 года под председательством президента Турции Реджепа Тайипа Эрдогана заседании турецкого Исполнительного комитета оборонной промышл..."", ""Сообщается, что отпущенные властями РФ азовцы, находящиеся «под слово президента Турции» в Турции, уже к Новому году могут вернуться в Украину."", ""Действия Израиля против Ирана втягивают в катастрофу весь регион, заявил Эрдоган. По словам президента Турции, Тель-Авив возглавляет сеть, которая считает себя выше других. И пр...""]"
pervoe_litso,ot_pervogo_litsa,2060,"[""Впереди «Красные Небеса». Россия планирует создать армию будущего на основе беспилотников 🔔Аналитический центр КЦПН перевёл свежайший материал из журнала Military Review, издава..."", ""Давайте разберём ситуацию на двух конкретных примерах из нашей недавней практики Пример номер раз Воздушная разведка подразделения N обнаружила САУ ВСУ в укрытии посреди населен..."", ""Армия США в гонке за дронами. 1 миллион к 28 году 💰И снова министр сухопутных войск Дрисколл пытается пробить броню старой лоббистской американской армейской системы с её бюрокр..."", ""Зачистка Купянска от первого лица Пока украинская медийка выпускает дешевые антикризы про «инфильтрацию российских ДРГ на окраинах города», мы покажем вам, как штурмовики #6_арм..."", ""Финальные выводы по исследованию комментариев Telegram 1. Общий контекст Опрос о причинах низкой рождаемости вызвал высокий отклик аудитории — почти три тысячи участников. Польз..."", ""Пит Хэгсет создаёт оперативную группу JIATF 401 в Пентагоне по разработке средств защиты от БПЛА ❗️Аналитический центр КЦПН перевёл статью c милитари-ресурса The War Zone о том,..."", ""⚔США внедряют опыт боевых действий на Украине в свои оборонные технологии Аналитический центр КЦПН внимательно следит за тем, как США изучают то, как меняются и развиваются воен..."", ""#ЧёТамУХохлов #ХохлаСпроситьЗабыли Линия Дронов и современная война от первого лица. Интервью с командиром полка беспилотных систем «Рарог» Аналитический центр КЦПН перевёл для ...""]"
