doc_id,group,period,channel,blame,colored,unsure
31297,C_after,after,mardanaka,net_atribucii,False,
3235,A_after_sample,after,PravdaShuravi,ispolniteli,True,
28447,C_after,after,holmogor_talks,sistema,True,
257,C_after,after,ASWman,sistema,True,
41487,A_after_sample,after,readovkanews,ispolniteli,True,
9403,intersection,before,SolovievLive,net_atribucii,False,
41401,A_after_sample,after,readovkanews,ispolniteli,False,
35259,C_after,after,nationconsunion,ispolniteli,True,
318,C_after,after,ASWman,net_atribucii,True,
32532,C_after,after,mig41,net_atribucii,False,
36632,C_after,after,new_militarycolumnist,net_atribucii,False,
34077,C_after,after,milinfolive,ispolniteli,True,
2775,intersection,before,Agdchan,net_atribucii,False,
50142,C_after,after,rybar,sistema,True,
51184,A_after_sample,after,sashakots,net_atribucii,False,
32460,C_after,after,mig41,net_atribucii,False,
51456,intersection,before,sashakots,net_atribucii,False,
46886,C_after,after,russia_nacionalist,sistema,True,
25403,C_after,after,epoddubny,vneshnij,True,
61165,C_after,after,warhistoryalconafter,ispolniteli,True,
5781,C_after,after,SolovievLive,net_atribucii,False,
18169,C_after,after,bomber_fighter,net_atribucii,True,
18384,C_after,after,boris_rozhin,sistema,True,
31345,C_after,after,mardanaka,ispolniteli,True,
46694,A_after_sample,after,rusfleet,ispolniteli,True,
28250,C_after,after,Hard_Blog_Line,ispolniteli,True,
35260,C_after,after,nationconsunion,ispolniteli,True,
207,A_after_sample,after,ASWman,meta_ironiya,True,
55582,C_after,after,voenacher,net_atribucii,False,
41494,C_after,after,readovkanews,vneshnij,False,
31315,C_after,after,mardanaka,sistema,True,
48449,C_after,after,RVvoenkor,net_atribucii,False,
3784,C_after,after,SIL0VIKI,sistema,True,
28244,C_after,after,Hard_Blog_Line,net_atribucii,True,
52983,C_after,after,vadim_trukhachyov,sistema,True,
61206,C_after,after,warhistoryalconafter,ispolniteli,True,
44749,C_after,after,rightcourse,sistema,True,
24217,C_after,after,dva_majors,meta_ironiya,True,
27587,intersection,before,golosmordora1,sistema,True,
46452,C_after,after,RSaponkov,sistema,True,
51159,C_after,after,sashakots,net_atribucii,False,
17241,C_after,after,Ural_Otvag2022,net_atribucii,False,
5722,A_after_sample,after,SolovievLive,net_atribucii,False,
27486,C_after,after,golosmordora1,net_atribucii,False,
35404,intersection,before,nationconsunion,net_atribucii,False,
24194,C_after,after,dva_majors,sistema,True,
44802,C_after,after,rightcourse,sistema,True,
3222,A_after_sample,after,PravdaShuravi,ispolniteli,True,
21663,intersection,before,chvkmedia,net_atribucii,False,
33234,intersection,before,mig41,net_atribucii,False,
36643,C_after,after,new_militarycolumnist,net_atribucii,False,
52131,C_after,after,soldat_prav,sistema,True,
52922,C_after,after,vadim_trukhachyov,sistema,True,
27765,intersection,before,golosmordora1,net_atribucii,False,
1335,C_after,after,AdekVatnye_novosty,net_atribucii,False,
24151,C_after,after,dva_majors,sistema,True,
25391,C_after,after,epoddubny,net_atribucii,False,
57357,C_after,after,WarDonbass,ispolniteli,True,
