Topic,Words,Frequency,Timestamp
-1,"украинских, украину, украиной, россию, украины",3192,2022-02-24 00:00:00+00:00
0,"украину, украинских, украиной, россию, украинцы",1616,2022-02-24 00:00:00+00:00
1,"санкций, говорит, переговорах, санкции, санкции против",3,2022-02-24 00:00:00+00:00
2,"грузии, митинги, россию, сторонников, сторонники",1,2022-02-24 00:00:00+00:00
3,"оппозиции, оппозиция, новый, правящей партии, правящей",1,2022-02-24 00:00:00+00:00
4,"выборах, выборы, выборов, политиков, левых",3,2022-02-24 00:00:00+00:00
5,"российского лидера, доверие, доверия, россиян, неделю",25,2022-02-24 00:00:00+00:00
7,"победил, турции, результаты, победит, победу",7,2022-02-24 00:00:00+00:00
8,"великой отечественной, главнокомандующего, отмечают, штаба, служба",4,2022-02-24 00:00:00+00:00
12,"абхазии, независимость, президенты, поддерживают, республику",5,2022-02-24 00:00:00+00:00
13,"санкции против, санкции, санкций, против россии, российских",54,2022-02-24 00:00:00+00:00
15,"российского лидера, бразилии, глава государства, санкций, говорит",5,2022-02-24 00:00:00+00:00
19,"завершился, лукашенко, покинули, часа, покинул",3,2022-02-24 00:00:00+00:00
21,"подписал указ, указ, указом, указа, отставке",6,2022-02-24 00:00:00+00:00
23,"переговоры, переговоров, премьер министра, премьер министр, израиль",23,2022-02-24 00:00:00+00:00
24,"крыму, крым, крыма, состоялся, россией",8,2022-02-24 00:00:00+00:00
-1,"украину, украинских, военные, россию, нужно",1786,2022-03-26 00:00:00+00:00
0,"говорит, россию, россией, российские, военных",1380,2022-03-26 00:00:00+00:00
1,"властей, ситуация, переворот, переворота, власть",2,2022-03-26 00:00:00+00:00
2,"санкции, грузии, против россии, россией, участвует",3,2022-03-26 00:00:00+00:00
4,"выборов, выборах, выборы, президентских выборах, президентских выборов",107,2022-03-26 00:00:00+00:00
5,"доверия, поддерживают, работает, мнению, выводы",21,2022-03-26 00:00:00+00:00
8,"обороны, вооруженных сил, военных, войск, военно",1,2022-03-26 00:00:00+00:00
13,"санкций, санкции против, санкции, российские, российских",19,2022-03-26 00:00:00+00:00
14,"осетии, ближайшее время, состоится, россией, проведут",85,2022-03-26 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, часа",6,2022-03-26 00:00:00+00:00
21,"подписал указ, указом, указ, отставке, указе",1,2022-03-26 00:00:00+00:00
24,"крыму, крым, крыма, нашими, демонстрации",2,2022-03-26 00:00:00+00:00
-1,"военные, нужно, военных, армии, людей",1495,2022-04-25 00:00:00+00:00
0,"украинских, военных, войска, обороны, людей",1146,2022-04-25 00:00:00+00:00
2,"грузии, отказывается, требуют, оппозиции, отказалась",5,2022-04-25 00:00:00+00:00
4,"выборами, выборах, выборы, выборов, политическом",5,2022-04-25 00:00:00+00:00
5,"доверия, поддерживают, россиян, оценка, оценки",12,2022-04-25 00:00:00+00:00
8,"обороны, великой отечественной, министерства обороны, вооруженных сил, охраны",2,2022-04-25 00:00:00+00:00
13,"санкции, санкции против, санкций, великобритания, антироссийские",15,2022-04-25 00:00:00+00:00
14,"осетии, россией, президентской, президентских, кандидат президенты",43,2022-04-25 00:00:00+00:00
15,"конфликта украине, конфликта, бразилии, призвал, кремль",2,2022-04-25 00:00:00+00:00
19,"встреча, встречи, разговор, часа, минут",1,2022-04-25 00:00:00+00:00
22,"задержали, задержан, силовики, уголовное, грозит",6,2022-04-25 00:00:00+00:00
23,"российского лидера, обсудили, израиль, израиля, премьер министра",9,2022-04-25 00:00:00+00:00
24,"крыму, крым, крыма, ссср, это стало",1,2022-04-25 00:00:00+00:00
-1,"украину, украинских, санкций, конфликта, россию",1548,2022-05-25 00:00:00+00:00
0,"санкций, украину, россию, главное, нужно",980,2022-05-25 00:00:00+00:00
1,"властей, белого дома, чиновники, ситуация, задержания",3,2022-05-25 00:00:00+00:00
2,"грузии, правительство, против, правительства, отказалась",2,2022-05-25 00:00:00+00:00
4,"парламенте, парламент, выборы, выборах, выборов",6,2022-05-25 00:00:00+00:00
5,"доверие, доверия, большинство, россиян, считают",15,2022-05-25 00:00:00+00:00
7,"кандидатом, турции, 2023 года, 2023, 2023 году",6,2022-05-25 00:00:00+00:00
8,"совета безопасности, суверенитета, законом, председателем, совет",1,2022-05-25 00:00:00+00:00
9,"назначен, назначил, назначены, вооруженных сил, военно",1,2022-05-25 00:00:00+00:00
12,"абхазии, санкций, туристов, последствия, ограничения",1,2022-05-25 00:00:00+00:00
13,"санкции против, санкций, санкции, подписал указ, кремля",10,2022-05-25 00:00:00+00:00
14,"осетии, заявил глава, россией, российской федерации, республике",8,2022-05-25 00:00:00+00:00
21,"отставке, кремля, назначена, должность, сообщила",9,2022-05-25 00:00:00+00:00
30,"украину, выборах, вооруженные, серьезно, шансы",12,2022-05-25 00:00:00+00:00
-1,"украину, пишет, россию, нужно, санкций",1403,2022-06-24 00:00:00+00:00
0,"войска, украинских, военных, обороны, войск",974,2022-06-24 00:00:00+00:00
1,"протесты, протестов, протестующие, беспорядков, переворот",2,2022-06-24 00:00:00+00:00
5,"доверие, доверия, россиян, лидера, мнение",8,2022-06-24 00:00:00+00:00
7,"протесты, турции, оппозиции, оппозиция, рабочих",1,2022-06-24 00:00:00+00:00
10,"главнокомандующего, военных, вооруженных сил, обороны, вооруженных",2,2022-06-24 00:00:00+00:00
13,"санкций, санкции, санкции против, список, российских",3,2022-06-24 00:00:00+00:00
15,"переговоров, телефонный разговор, разговор, обсудить, телефону",3,2022-06-24 00:00:00+00:00
21,"отставке, кремля, доверия, подтвердил, пост",1,2022-06-24 00:00:00+00:00
22,"покушение, терроризма, грозит, призывал, уголовное",2,2022-06-24 00:00:00+00:00
25,"гражданство, гражданами, гражданам, украинским, подписал указ",2,2022-06-24 00:00:00+00:00
30,"выяснилось, расследование, военнослужащих, преступления, военных",2,2022-06-24 00:00:00+00:00
-1,"россию, нужно, украину, говорит, должны",992,2022-07-24 00:00:00+00:00
0,"ситуацию, россию, российские, россией, людей",700,2022-07-24 00:00:00+00:00
1,"боевиков, протесты, беспорядки, конфликт, войска",9,2022-07-24 00:00:00+00:00
2,"грузии, осетии, случилось, врагов, спустя",3,2022-07-24 00:00:00+00:00
3,"мобилизации, отставку, президентского, ядерного оружия, вооруженные",2,2022-07-24 00:00:00+00:00
5,"доверие, доверия, политиков, плохо, речь идет",15,2022-07-24 00:00:00+00:00
7,"глава государства, президенты, турции, развития, туре",1,2022-07-24 00:00:00+00:00
8,"войск, военного, войска, военно, авиации",12,2022-07-24 00:00:00+00:00
9,"министра обороны, россия new_militarycolumnist, заместителя, вооруженных сил, назначен",6,2022-07-24 00:00:00+00:00
11,"инцидент, видео, падения, попал, пострадал",2,2022-07-24 00:00:00+00:00
13,"санкции против, санкции, санкций, список, против россии",3,2022-07-24 00:00:00+00:00
14,"осетии, россией, писали, государственности, сказал",2,2022-07-24 00:00:00+00:00
15,"переговорах, переговоров, разговор, бразилии, телефонный разговор",1,2022-07-24 00:00:00+00:00
19,"завершился, переговорах, итогам, переговоров, переговоры",6,2022-07-24 00:00:00+00:00
20,"теракта, журналист, русским, честно, покушение",41,2022-07-24 00:00:00+00:00
22,"протест, насилия, силовики, ненависти, приговор",2,2022-07-24 00:00:00+00:00
23,"переговоры, израиля, обсудили, израиль, отношений",1,2022-07-24 00:00:00+00:00
25,"российское, российского, родине, российский, российским",1,2022-07-24 00:00:00+00:00
28,"планируют, готовятся, хотят, совета безопасности, проводят",1,2022-07-24 00:00:00+00:00
30,"нового, новые, новая, двух стран, предлагает",1,2022-07-24 00:00:00+00:00
-1,"россию, мобилизации, военнослужащих, россией, украину",1523,2022-08-23 00:00:00+00:00
0,"мобилизации, россию, военные, конфликта, россией",1133,2022-08-23 00:00:00+00:00
1,"планируется, вооруженных, вооруженными, рассматривается, демонстрации",2,2022-08-23 00:00:00+00:00
3,"ядерного оружия, ядерного, официально, государством, правящей",2,2022-08-23 00:00:00+00:00
4,"протесты, протесты против, протестующих, недовольны, протест",4,2022-08-23 00:00:00+00:00
5,"доверие, доверия, большинство, мнение, неделю",9,2022-08-23 00:00:00+00:00
8,"отмечает, отмечается, армии, праздник, день",3,2022-08-23 00:00:00+00:00
10,"военных, майора, армия, верховному, работают",3,2022-08-23 00:00:00+00:00
12,"абхазии, республику, республики, независимость, республике",2,2022-08-23 00:00:00+00:00
13,"санкциями, санкции против, санкции, санкций, список",5,2022-08-23 00:00:00+00:00
14,"осетии, министром обороны, министерства обороны, замминистра, министра иностранных",3,2022-08-23 00:00:00+00:00
20,"сказать, победой, правда, людям, честно",19,2022-08-23 00:00:00+00:00
21,"отставке, назначен, официальном, назначил, бизнес",1,2022-08-23 00:00:00+00:00
24,"крым, крыму, крыма, украины, киеве",1,2022-08-23 00:00:00+00:00
26,"покушение, вице, коррупции, человек, якобы",2,2022-08-23 00:00:00+00:00
30,"властей, инцидент, нападения, кортеж, действуют",4,2022-08-23 00:00:00+00:00
-1,"мобилизации, нужно, россию, должны, людей",2152,2022-09-22 00:00:00+00:00
0,"подписал указ, мобилизации, указ, регионах, областей",1742,2022-09-22 00:00:00+00:00
1,"переворот, переворота, беспорядки, вооруженные, боевиков",6,2022-09-22 00:00:00+00:00
2,"грузии, россиян, россию, границей, россией",4,2022-09-22 00:00:00+00:00
3,"очередные, ядерного оружия, ракеты, идет, провокации",1,2022-09-22 00:00:00+00:00
5,"доверие, доверия, большинство, неделе, мнение",9,2022-09-22 00:00:00+00:00
7,"выборах, турции, эфире, выборами, выборы",1,2022-09-22 00:00:00+00:00
9,"обороны, нужны, губернатора, силами, войсками",1,2022-09-22 00:00:00+00:00
10,"верховному, верховным, майора, верховного, украину",2,2022-09-22 00:00:00+00:00
13,"санкции, санкции против, санкций, российских, россиян",5,2022-09-22 00:00:00+00:00
14,"поддержал, поддерживает, осетии, признал, позволит",1,2022-09-22 00:00:00+00:00
16,"крыму, пострадавших, крым, крыма, произошло",24,2022-09-22 00:00:00+00:00
18,"катастрофы, самолета, инцидент, падения, самолет",1,2022-09-22 00:00:00+00:00
19,"переговорах, завершилось, завершился, переговоров, переговоры",1,2022-09-22 00:00:00+00:00
20,"уважения, улицу, появилась, русской, честь",5,2022-09-22 00:00:00+00:00
21,"отставке, евросоюз, кремля, пост, европы",7,2022-09-22 00:00:00+00:00
22,"терроризма, террористической, задержали, уголовное, вооруженными",1,2022-09-22 00:00:00+00:00
24,"кремле, состав россии, крыму, 2014 году, 2014 года",1,2022-09-22 00:00:00+00:00
25,"гражданство, россию, российского, российское, российским",7,2022-09-22 00:00:00+00:00
30,"предлагает, властей, планируется, предложения, говоря",1,2022-09-22 00:00:00+00:00
-1,"украину, россию, нужно, цель, ситуация",1901,2022-10-22 00:00:00+00:00
0,"мобилизации, украинских, войска, военных, украиной",1568,2022-10-22 00:00:00+00:00
1,"беспорядки, властями, беспорядков, протестов, боевиков",6,2022-10-22 00:00:00+00:00
2,"грузии, силовиков, оппозиции, политическая, возможно",2,2022-10-22 00:00:00+00:00
3,"украину, отреагировали, южной, прокомментировал, вооружений",8,2022-10-22 00:00:00+00:00
4,"партию, партия, партии, объединение, выборы",1,2022-10-22 00:00:00+00:00
5,"доверие, доверия, неделю, плохо, снижение",9,2022-10-22 00:00:00+00:00
8,"российских военных, разведки, военных, военного, вооруженных",6,2022-10-22 00:00:00+00:00
10,"военных, майора, верховному, армия, верховного",3,2022-10-22 00:00:00+00:00
13,"санкции против, санкции, санкций, список, чиновников",3,2022-10-22 00:00:00+00:00
15,"бразилии, пишут, выборах, санкций, мнению",4,2022-10-22 00:00:00+00:00
16,"сроки, планируется, начнется, планируют, крым",10,2022-10-22 00:00:00+00:00
17,"министром обороны, министра обороны, министра, министром, контролем",1,2022-10-22 00:00:00+00:00
19,"завершился, переговорах, переговоров, переговоры, часа",3,2022-10-22 00:00:00+00:00
20,"россию, говорит, мысли, говорится, интервью",1,2022-10-22 00:00:00+00:00
23,"премьером, премьер министром, победил, премьер, выборах",2,2022-10-22 00:00:00+00:00
-1,"военнослужащих, военных, нужно, армии, обороны",1817,2022-11-21 00:00:00+00:00
0,"украинских, украину, украина, спецоперации, россию",1244,2022-11-21 00:00:00+00:00
1,"вооруженных, боевиков, ситуация, произошло, властей",8,2022-11-21 00:00:00+00:00
2,"грузии, видео, человек, протестующих, протеста",3,2022-11-21 00:00:00+00:00
3,"видео, президентского, инцидент, произошел, выступления",1,2022-11-21 00:00:00+00:00
4,"президентских, расследование, президентской, президентских выборах, кампании",3,2022-11-21 00:00:00+00:00
5,"доверие, доверия, неделю, стабильность, недели",7,2022-11-21 00:00:00+00:00
7,"турции, выборах, выборов, туре, предвыборной",2,2022-11-21 00:00:00+00:00
8,"разведки, вооруженных сил, ссср, декабря, российской федерации",4,2022-11-21 00:00:00+00:00
10,"пишут, майора, военных, верховному, сказал",2,2022-11-21 00:00:00+00:00
14,"осетии, посетил, посетить, россией, военнослужащие",2,2022-11-21 00:00:00+00:00
15,"поздравил, успехов, переговорах, бразилии, победой",2,2022-11-21 00:00:00+00:00
