country,count,post_text_examples
США,19625,"[""Сообщают, что администрация президента США Дональда Трампа в своей заявке оборонного бюджета на 2027 финансовый год запрашивает беспрецедентную закупку 857 противоракет Talon дл..."", ""Россия заявила, что не передает разведданные Ирану. Об этом сообщил спецпосланник президента США Уиткофф, сославшись на вчерашний телефонный разговор между Владимиром Путиным и ..."", ""Трамп пожелал лично выбрать нового лидера Ирана Сын убитого Верховного лидера Ирана неприемлем в качестве его преемника, заявил президент США. Он пояснил, что необходим такой ка..."", ""Примечательно, что свою СВО против Ирана Трамп начал в субботу, когда фондовый рынок закрыт. Чтобы не упал резко. К понедельнику шок уже будет не такой сильный. Такой подход воо..."", ""Маск предлагает бесплатно установить Starlink в Иране, пока там нет интернета SpaceX Илона Маска теперь предлагает бесплатный Starlink спутниковый сервис в Иране на фоне смертон..."", ""09.01.2026 Москва, Россия. Официальное заявление МИД Российской Федерации по факту освобождения США двух граждан России из состава экипажа ранее захваченного США в Северной Атла..."", ""Российские подлодка и эсминец, которые сопровождали захваченный США танкер «Маринера», решили «не связываться» с американскими военными и не препятствовали захвату судна — Трамп..."", ""‼️🇺🇸 [Donald J. Trump] ⨯ ВНИМАНИЕ всем подрядчикам оборонной промышленности США и всей отрасли в целом: хотя мы производим лучшее военное оборудование в мире (никакая другая стр..."", ""Владимир Путин и Дональд Трамп созвонились перед встречей президента США с Владимиром Зеленским. Разговор продолжался 1 час 15 мин. Главное: — Путин привел Трампу аргументы о пр..."", ""22 декабря 2025 года президент США Дональд Трамп объявил о плане строительства для ВМС США нового типа больших надводных боевых кораблей, которые он назвал «линейными кораблями»...""]"
Украина,12455,"[""Пресс-служба президента Украины Владимира Зеленского сообщила, что в ходе его визита в Германию, помимо прочего, состоялось подписание шести новых соглашений о сотрудничестве Ге..."", ""На Украине начались процессы продвижения Михаила Фёдорова, министра обороны, в качестве кандидата в президенты Украины"", ""У масштабного антикриза и веры в договорнячок по Венесуэле один корень. Через несколько дней стукнет уже 1418 дней ходу СВО, что сравняет ее по длительности с Великой Отечествен..."", ""Интересная новость от СВР России: Представители США и Британии недавно организовали встречу в Альпах с участием Ермака, Буданова и Залужного, чтобы обсудить замену Зеленского. С..."", ""⚡️США и Британия на тайной встрече решили выдвинуть Залужного на пост президента Украины, заявили в СВР РФ. Участники встречи сошлись во мнении, что вопрос замены Зеленского наз..."", ""The Washington Post сообщает, со ссылкой на информированный источник, что возможный пакет оружия для Украины, о намерении предоставить который объявил президент США Дональд Трам..."", ""Президент Украины Владимир Зеленский своим указом назначил новым командующим Сил беспилотных систем ВСУ широко известного \""Мадяра\"" (Роберта Бровди, фото) - основателя и командир..."", ""Трамп: Только что завершил двухчасовой разговор с Президентом России Владимиром Путиным. Я считаю, что он прошёл очень хорошо. Россия и Украина немедленно начнут переговоры о пр..."", ""Американский сенатор Линдси Грэм по итогам визита президента Украины Владимира Зеленского в США в интервью \""Голосу Америки\"" назвал войну на Украине \""хорошей инвестицией\"" для Аме..."", ""Глава Госдепа дал Путину «несколько недель» на окончательное решение по Украине Президент США Дональд Трамп не собираются участвовать в «бесконечных переговорах» по Украине, и в...""]"
Франция,3243,"[""Последние новости вокруг переговоров по Украине ▪️Кремль (в лице Пескова) заявил, что Россия и США пока предметно не обсуждали план мира, хотя «определенные соображения американ..."", ""Трамп: Только что завершил двухчасовой разговор с Президентом России Владимиром Путиным. Я считаю, что он прошёл очень хорошо. Россия и Украина немедленно начнут переговоры о пр..."", ""❗️Евросоюз на саммите 6 марта может предоставить Украине финансирование на сотни млрд евро, заявил президент Франции Макрон в интервью газете La Tribune."", ""Гостенков П. А. Франко-русский союз и несостоявшаяся морская война с Англией // Хронотоп войны: пространство и время в культурных репрезентациях социального конфликта: материалы..."", ""Много сейчас развелось ругальщиков и критиков наших адмиралов и генералов. Какой только ереси не пишут в сети про них. А Вы представляете, как они связаны по рукам более высшим ..."", ""🇵🇱🇫🇷🇺🇦 Президент Франции Эммануэль Макрон завтра приедет в Польшу, чтобы обсудить план европейской миротворческой миссии, которая должна сохранить суверенитет т.н. Украины в рам..."", ""На этом фоне небезынтересными выглядят сообщения о почти уже подготовленном визите в ноябре в Австралию президента Франции Макрона. Видимо, уже после встречи лидеров мировой 20-..."", ""🇵🇱 Глава МИД Польши Сикорский выступил против получения странами ЕС ядерного оружия «Я скептично отношусь к разговорам об этом. Получение ядерного оружия — рискованная идея, вед..."", ""Макрон назвал шутку Трампа об ударе в челюсть неэлегантной и недостойной Президент Франции Эммануэль Макрон назвал выпады со стороны Дональда Трампа «неэлегантными и недостойным..."", ""⚡️Дональд Трамп сделал ряд громких заявлений на пресс-конференции в Овальном кабинете, касающихся международной политики и союзников США. По его словам, Украина могла бы потерпе...""]"
Турция,2606,"[""Как сообщили турецкие СМИ, 19 сентября 2025 года на турецком частном судостроительном предприятии Dearsan Shipyard в Тузле в азиатской части Стамбула состоялась церемония первой..."", ""В ходе 17-й международной выставке оборонной промышленности IDEF 2025 в Стамбуле была представлена баллистическая ракета Tayfun (Block-4) от турецкой компании Roketsan. Согласно..."", ""НАСТОЯЩАЯ ИСТОРИЯ ПОЯВЛЕНИЯ ПАРАНДЖИ. ХОРОШО БЫ ЗНАТЬ ЕЁ ТЕМ, КТО СЕЙЧАС ПАРАНДЖУ НОСИТ - МОЖЕТ, ОДЕВАЛИСЬ БЫ ИНАЧЕ... Паранджa происходит из культа Астарты в древней Месопотами..."", ""Сообщается, что 8 марта 2024 года в ходе визита в Турцию президент Украины Владимир Зеленский посетил судостроительную верфь RMK Marine в Тузле (южная окраина азиатской части Ст..."", ""19 января 2024 года на церемонии на турецком судостроительном предприятии Sefine Shipyard в Ялове на азиатском побережье Мраморного моря состоялся официальный ввод в состав воен..."", ""Как сообщается, на состоявшемся 3 января 2024 года под председательством президента Турции Реджепа Тайипа Эрдогана заседании турецкого Исполнительного комитета оборонной промышл..."", ""Сообщается, что отпущенные властями РФ азовцы, находящиеся «под слово президента Турции» в Турции, уже к Новому году могут вернуться в Украину."", ""Действия Израиля против Ирана втягивают в катастрофу весь регион, заявил Эрдоган. По словам президента Турции, Тель-Авив возглавляет сеть, которая считает себя выше других. И пр..."", ""🇹🇷 Мир скатывается в хаотичную эпоху грубой силы — Эрдоган Президент Турции заявил, что пока старый мировой порядок рушится, никто не знает, что придёт ему на смену. 📝 «Наш мир ..."", ""Турция выразила готовность взять на себя вопросы безопасности в Черном море Об этом заявил глава турецкого МИДа Хакан Фидан в интервью телеканалу TRT Haber. «Как страна НАТО на ...""]"
Иран,1643,"[""Будет очень любопытно посмотреть на трансфер власти в Иране путем убийства тамошних высших госдедов евреями. Жаль, что страна закрытая слишком, непонятно че там внутри происходи..."", ""Новоизбранный президент Ирана Масуд Пезешкиан внес в иранский парламент список кандидатов на посты министров его правительства. Полный список по ссылке на английском. Здесь отме..."", ""Трамп отчитался об ударах по Тегерану и уничтожении военных лидеров Ирана Президент США заявил, что в результате масштабной атаки в Тегеране ликвидированы многие иранские военны..."", ""«Пусть мир сам решит, кто готов к диалогу и переговорам, а кто выбирает террор», — заявил президент Ирана Пезешкиан, подчеркнув, что США нанесли удар по Тегерану именно в тот мо..."", ""Пезешкиан: Штатами правят «израильские короли» Жители США протестуют под лозунгом «Нет королям», потому что им надоело, что их государством управляют «израильские короли». Об эт..."", ""России предрекли важную роль в установлении мира в Иране Россия способна сыграть решающую роль в урегулировании конфликта вокруг Ирана. Такое мнение выразил финский политик, чле..."", ""Пезешкиан также опроверг слова Трампа о переговорах между США и Ираном. Президент Ирана Масуд Пезешкиан заявил, что Тегеран не ведет никаких переговоров с Вашингтоном, опровергн..."", ""🇮🇷 В случае выполнения угроз США нанести удар по иранским энергетическим объектам Иран полностью закроет Ормузский пролив — КСИР Если США атакуют электростанции в Иране, Тегеран..."", ""Дональд Трамп заявил в эфире CNBC, что военная операция США против Ирана опережает график»: Трамп заявил об \""успехе\"" совместной с Израилем операции против Ирана. «Президент Дона..."", ""Путин выразил соболезнования президенту Ирана Пезешкиану в связи с убийством верховного лидера республики Али Хаменеи. Президент РФ назвал гибель аятоллы циничным убийством с на...""]"
Сербия,1536,"[""Президент Сербии Александр Вучич считает, что Третья мировая может разразиться в ближайшие 3-4 месяца. Интересно, это инсайд или громкий прогноз, чтобы напрячь общественность и ..."", ""Из интервью президента Сербии Вучича швейцарскому журналу Weltwoche: \""Я думаю, что мы очень близки к глобальному конфликту. До него осталось не более трех-четырех месяцев!\"" \""Мы ..."", ""Запад отправит войска на Украину, хотя многие сейчас считают, что этого не произойдет. Такого мнения придерживается президент Сербии. «Это очень логично с точки зрения Запада. О..."", ""Президент Сербии Вучич: Я думал, что россияне будут оказывать большее сопротивление под Херсоном, очевидно, что я ошибся. Нам это показывает, что мы сами должны создавать свое б..."", ""Евросоюз может лишить Сербию финансовой помощи в размере €1,5 млрд из-за дружбы с Россией, сообщат европейское Politico. Речь идет о средствах, которые Белград рассчитывал получ..."", ""Взрывчатка, обнаруженная у газопровода \""Турецкий поток\"", идущего из Сербии в Венгрию, произведена в США. Об этом заявил директор военной контрразведки Сербии Джуро Йованич. \""Сам..."", ""Запад открыл ящик Пандоры в 1999 году нападением на Югославию, заявил Вучич. Свои военные действия там объясняют разговорами о демократии и правах человека, отметил президент Се..."", ""🔥 Россия укрепляет партнерство с Сербией. Министр экономического развития РФ Максим Решетников встретился с президентом Сербии Александром Вучичем и сопредседателем сербской час..."", ""🇪🇺 Европе грозит «ад» в энергетике из-за Ближнего Востока — Вучич Президент Сербии Александр Вучич предупредил, что если эскалация продолжится — все в Европе будут в аду. Для лю..."", ""🔥 Венгрия и Словакия обеспечат поставки российской нефти в обход Украины. Президент Сербии Александр Вучич и премьер-министр Венгрии Виктор Орбан провели телефонные переговоры, ...""]"
Польша,1451,"[""«Я предлагаю Россию разделить на 200 этнических государств. Россия — крупнейшая в мире колониальная держава, которая держит в плену 200 этнических групп» — президент Польши Дуда..."", ""Президент Польши снова попался на употреблении снюса Президент Польши Кароль Навроцкий снова попался на употреблении снюса. Пакетик с никотиновыми леденцами предательски выпал и..."", ""Навроцкий наложил вето на закон об участии Польши в программе военных кредитов. Президент Польши Кароль Навроцкий отказался подписывать закон об участии Варшавы в европейской пр..."", ""«Президент Польши Кароль Навроцкий подписал закон о прекращении действия положений, вытекающих из закона о помощи гражданам Украины в связи с вооружённым конфликтом на территори..."", ""Украинский боксёр Александр Усик назвал большой катастрофой ситуацию на Украине и замахнулся на пост президента. Об этом он заявил пранкерам Вовану и Лексусу, думая, что говорит..."", ""Польше необходимо двигаться к обладанию собственным ядерным оружием, — Кароль Навроцкий По словам президента Польши, страна находится на грани вооруженного конфликта\"", в том чис..."", ""Президент Польши Кароль Навроцки опубликовал в соцсетях видео, как он сам срубил рождественскую ёлку и принёс её в Президентский дворец Ряд местных пользователей в соцсетях посл..."", ""Президент Польши Навроцкий жёстко раскритиковал Зеленского перед встречей в Варшаве Президент Польши Кароль Навроцкий накануне запланированной на пятницу встречи с украинским ли..."", ""Президент Польши оказался не в курсе обсуждения передачи истребителей Украине Президент Польши Кароль Навроцкий не был уведомлен о планируемой передаче Украине польских истребит..."", ""Польский президент обиделся. И отменил встречу с Орбаном Кароль Навроцкий отказался от запланированной встречи с премьер-министром Венгрии Виктором Орбаном после того, как тот п...""]"
Азербайджан,1276,"[""⚡️🇦🇿🇦🇲 Правительство Азербайджана согласилось исключить вопрос «Зангезурского коридора» из мирного соглашения. Об этом рассказал представитель президента Азербайджана Эльчин Ами..."", ""‼️ВОЙНА МЕЖДУ АЗЕРБАЙДЖАНОМ И ИРАНОМ? В последнее время на фоне растущей напряженности в регионе возникли новые обвинения и угрозы. Азербайджанская служба госбезопасности сообщи..."", ""«Закрыли страницу»: Алиев заявил об окончании войны с Арменией Баку и Ереван решили закрыть страницу войны, так как продолжение конфликта могло бы привести к ужасным последствия..."", ""❗️В Таджикистане началась встреча Владимира Путина с лидером Азербайджана Ильхамом Алиевым. Президент России предложил Алиеву начать встречу с обсуждения ситуации с авиакатастро..."", ""Президент Азербайджана призвал спасти Каспий от обмеления Стремительное обмеление Каспийского моря связано с серьезными экологическими проблемами, заявил президент Азербайджана ..."", ""❗️🇦🇿 Азербайджан в любой момент должен быть готов к войне — Алиев Президент Азербайджана Ильхам Алиев на встрече с жителями Кяльбаджара подчеркнул: «Мы в любой момент должны быт..."", ""Замглавы КСИР Джавани: Алиев и Пашинян повторили ошибку Зеленского, поверив США Заместитель главы иранского Корпуса стражей исламской революции Ядолла Джавани рассказал об ошибк..."", ""🇦🇿🇺🇸🇦🇲Трамп примет президентов Армении и Азербайджана в Белом доме — СМИ Президент США Дональд Трамп в пятницу примет в Белом доме премьер-министра Армении Никола Пашиняна и пре..."", ""🇷🇺✖️ Гусман уволен на фоне лести к президенту Азербайджана На форуме в Ханкенди первый замглавы ТАСС Михаил Гусман сравнил Алиева с виртуозом-скрипачом и попросил раскрыть секре..."", ""Алиев объявил о подготовке к подаче на Россию в суд из-за крушения самолета AZAL Президент Азербайджана Ильхам Алиев объявил, что Баку готовит документы для подачи судебного иск...""]"
Венесуэла,1149,"[""Так, подобьем бабки с танкером. Начну сразу с конца. Весь ажиотаж, истерику и местами \""трагедию\"" с танкером создали мы сами. Если бы Россия не выдала свой флаг этому танкеру в к..."", ""🐱 Источники в США сообщили, что президент Венесуэлы Николас Мадуро был захвачен \""группой оппозиционных военных\"", которые действовали в координации с американцами и был передан а..."", ""\""США успешно провели полномасштабный удар по Венесуэле, Президент Венесуэлы Мадуро вместе с женой был захвачен и вывезен из страны\"", – заявил Трамп Подписаться | Предложить новость"", ""«Я собираюсь баллотироваться в президенты Венесуэлы», — заявил Трамп. После того как я закончу с этим (конфликт в Иране), я могу поехать в Венесуэлу, быстро выучу испанский. Это..."", ""🔥 Подчиняющаяся США врио президента Венесуэлы сместила ряд военачальников, близких к Мадуро. Делси Родригес объявила о замене всех высокопоставленных военных, что стало очередны..."", ""Министр внутренних дел США Дуг Бергам подтвердил, что после похищения президента Венесуэлы Николаса Мадуро и смены власти США вывезли из Венесуэлы золото на сумму $100 миллионов..."", ""США признали новое правительство Венесуэлы Президент США Дональд Трамп на саммите «Щит Америки» во Флориде официально объявил о юридическом признании правительства Делси Родриге..."", ""🔥 Разведка США сомневается в готовности Венесуэлы порвать с Россией и Китаем. Американские спецслужбы не уверены в надежности временного президента Венесуэлы Делси Родригес как ..."", ""Сын президента Венесуэлы Мадуро Николас Мадуро Гуэрра сообщил, что у его отца всё хорошо в американском заключении: Адвокаты сказали нам, что он сильный, что нам не следует грус..."", ""❗Крыса найдена: По обвинению в государственной измене задержан глава контрразведки и почетной гвардии президента Венесуэлы генерал Хавьер Маркано Табата. Его подозревают в перед...""]"
Казахстан,949,"[""20 августа 2025 В Казахстане опровергли информацию о запрете иностранных мессенджеров Москва. 20 августа. INTERFAX.RU - Министерство цифрового развития, инноваций и аэрокосмичес..."", ""Русский язык в Казахстане потерял «равенство»: Детали новой конституции В Казахстане завершился референдум по новой конституции. По предварительным данным, явка составила 75,3%,..."", ""Мастер-класс от президента Казахстана: как осудив захват Гренландии Трампом, поддержать захват Гренландии Трампом Захват силовым путем Гренландии в любом случае будет означать н..."", ""В Кремле состоялась встреча Владимира Путина с Первым Президентом Казахстана Нурсултаном Назарбаевым 🇷🇺 Подписаться - АдекВатные новости"", ""Лидеры стран – участниц Содружества Независимых Государств собираются в Эрмитаже на неформальный саммит. Владимир Путин рассказывает коллегам об Эрмитаже. Вместе с Президентом Р..."", ""Владимир Путин прибыл в Туркменистан. Президент РФ встретится с турецким лидером Реджепом Тайипом Эрдоганом в Ашхабаде, где состоится форум, посвящённый Международному году мира..."", ""Тем временем президент Казахстана Токаев случайно прокомментировал в Твиттере видео, на котором массажистка делает массаж пациенту, засовывая ему два пальца в заднее отверстие С..."", ""Россия передаст Казахстану тигров для восстановления популяции Соглашение о передаче животных подписали главы природоохранных ведомств двух стран – Александр Козлов и Ерлан Ныса..."", ""Президент Казахстана Токаев назвал Трампа «великим лидером и государственным деятелем, посланным с небес» По его словам, миллионы людей во многих странах благодарны Трампу. «Под..."", ""Токаев предупредил об угрозе экологической катастрофы в Каспийском море Президент Казахстана Касым-Жомарт Токаев выразил серьезную обеспокоенность обмелением Каспийского моря, н...""]"
