topic_id,topic_count,topic_name,Representation,Representative_Docs
-1,92191,-1_украину_украинских_говорит_украина,"['украину', 'украинских', 'говорит', 'украина', 'конфликта', 'россию', 'украины', 'война', 'переговоры', 'переговоров']","['Текст заявлений Трампа в интервью Time по Украине. Критикует решение Зеленского и Байдена по дальнобойным ударам по РФ, говорит о больших потерях обоих сторон. Сказал, что Украину не оставит. Но, с другой стороны, не стал отвечать на вопрос, сократит ли помощь Киеву, если тот откажется принимать условия мирного соглашения. - Если Украина не согласится на мирное соглашение, в котором вы, как вы обещали, будете посредником, сократите ли вы ей военную, гуманитарную и разведывательную помощь? - Причина, по которой я не люблю вам это говорить, заключается в том, что, как переговорщик, я думаю, что у меня есть очень хороший план, чтобы помочь. Но когда я начинаю рассказывать этот план, он становится почти бесполезным планом. - Но возьмете ли вы на себя обязательство защищать суверенитет Украины от России? - Этого (войны в Украине - Ред.) никогда бы не произошло, если бы я был президентом. Никогда бы не произошло. - Но это произошло. Поэтому люди хотят знать вопрос: вы готовы отказаться от Украины? - Это делает все настолько плохим. И недавно у меня была встреча с группой людей из правительства, куда они пришли и проинформировали меня о количестве погибших солдат, которые были убиты за последний месяц. Это ошеломляющие цифры, как русских, так и украинцев, и цифры примерно равны. Знаете, я знаю, что они любят говорить, что это не так, но они примерно равны. Количество убитых молодых солдат, лежащих на полях повсюду, ошеломляет. Это безумие, что происходит. Это безумие. Я категорически не согласен с ударами ракет на сотни миль в Россию. Зачем мы это делаем? Мы просто обостряем эту войну и усугубляем ее. Этого нельзя было допускать. Теперь они делают не только ракеты, но и другие виды оружия. И я думаю, что это очень большая ошибка, очень большая ошибка. Но уровень, количество погибших людей - это номер один. Поэтому реализация этого проекта (завершение войны - Ред.) выгодна обеим сторонам. - Вопрос, который задают себе многие американцы и многие люди во всем мире: «Откажетесь ли вы от Украины?» - Я хочу достичь соглашения, и единственный способ достичь соглашения — не отказываться. Вы понимаете, что это значит, да? - Да. Точнее нет, поясните мне. - Ну, я только что это сказал. По моему мнению, вы не сможете достичь соглашения, если вы откажетесь. И я не согласен со всем этим, потому что этого никогда не должно было произойти. Путин никогда бы не вторгся в Украину, если бы я был президентом по многим причинам. Во-первых, они подняли цену на нефть. Когда они подняли цену на нефть, они сделали это прибыльной ситуацией для Путина. Цена на нефть должна была быть снижена. Если бы она была снижена, то он (Путин - Ред.) не начал бы ее только по чисто экономическим причинам. Но когда она достигла 80, 85 и 90 долларов за баррель он заработал, он заработал много денег. И сейчас они (российские войска на фронте - Ред.) движутся вперед. Знаете, эта война - это трагедия. Это смерть, которая намного больше, чем кто-либо знает. Когда появятся реальные цифры потерь. вы увидите цифры, в которые вы не поверите. - Иран недавно замышлял убить вас. Каковы шансы начать войну с Ираном во время вашего следующего срока? - Все может случиться. Все может случиться. Это очень нестабильная ситуация. Я думаю, что самое опасное сейчас — это то, что происходит, когда Зеленский решил, с одобрения, как я предполагаю, президента, начать обстреливать Россию ракетами. Я думаю, что это серьезная эскалация. Я думаю, что это глупое решение. Но я полагаю, что люди ждут, пока я приду, прежде чем что-то произойдет', 'Французы – со своей оценкой ситуации на украинском фронте. 🇫🇷 «AgoraVox»: «никто не хочет проигрывать на Украине». «Несмотря на лавину западных санкций, Россия продолжает свою спецоперацию. Однако обратим внимание на фразу, сказанную президентом Владимиром Путиным: «Эти санкции сродни объявлению войны», - сказал он. «Но, слава богу, до этого мы ещё не дошли». Мы должны понимать, что западные санкции действительно равносильны объявлению войны – и она может распространиться на другие европейские страны. Следует отметить, что Россия, безусловно, включила в свой план все возможные сценарии развития событий. Цель российской армии, как и любой армии, вступающей в войну, - обеспечить достижение своих целей. Проблема в том, что Россия является второй ядерной державой в мире, имея, если верить западным СМИ, столько же ядерных боеголовок, сколько и США, а то и больше. Очевидно, что все варианты войны против Украины и её союзников были совместно изучены российским Генеральным штабом, политиками и теми, кто отвечает за российскую экономику, и окончательное слово остаётся за Министерством обороны и Советом безопасности Российской Федерации. В целом же исход войны будет определяться действиями России и США. Россия, достигая своих целей на Украине, не отступит, поскольку поражение от Запада для неё неприемлемо - то же самое относится и к Соединённым Штатам. В то же время следует помнить, что практически каждая война, которую США, например, вели в Азии и на Ближнем Востоке, заканчивалась катастрофой. Если трансатлантические отношения когда-то были сильной стороной НАТО, то слова и действия Дональда Трампа лишь ослабили альянс. Эти факторы не могли не учитываться генеральным штабом российской армии и политическим руководством перед началом войны на Украине. Всё указывает на то, что боевые действия будут продолжаться, и каждая из сторон стремится к достижению своих целей. Никто не хочет проигрывать. Ни Россия, ни Запад. Война, разыгрывающаяся на Украине, уже выходит за рамки Украины и контролируемых Россией регионов».', 'Зря мы беспокоимся за переговоры. Укры в своём репертуаре. ""Киев потребует прекращения боевых действий и вывода российских войск на переговорах с Москвой. Такие условия украинской стороны назвал посол страны в Турции Василий Боднарь, передает РИА Новости."" Все хотелки Путина просто не рассматривают, словно они победители. Думаю, Кремль не в том положении, чтобы опять 8 лет тетёшкаться с мазепами. Ядерные силы привели в состояние боевой готовности, американцы уже заявили, что НАТО не угрожает РФ. ""«Ни разу Россия не находилась под угрозой со стороны НАТО, со стороны Украины. Прежде всего это модель поведения, которую мы видим со стороны президента Путина на всем протяжении этого конфликта. Она заключается в создании угроз, которые не существуют, чтобы оправдать дальнейшую агрессию», — сказала она в интервью телеканалу ABC. Ранее в этот день Путин в ходе встречи с министром обороны Сергеем Шойгу и главой Генштаба Вооруженных сил РФ Валерием Герасимовым приказал перевести силы сдерживания в особый режим боевого дежурства. Он обосновал такое решение тем, что «высшие должностные лица ведущих стран НАТО допускают и агрессивные высказывания в адрес нашей страны». МИД: Россия не требовала от Украины сложить оружие перед переговорами В то же время министр иностранных дел Великобритании Лиз Трасс заявила, что если Путина «не остановить на Украине», то под угрозой окажутся Прибалтика, Польша и Молдова. Это, по ее словам, может вылиться в конфликт России с НАТО, чего Британия не хочет. За день до этого президент США Джо Байден сказал, что альтернативой антироссийским санкциям, введенным западными странами в связи с проводимой Россией операцией по защите Донбасса, мог стать масштабный военный конфликт. По его словам, РФ придется расплачиваться за события на Украине не только сейчас, но и в будущем."" Британцы тут выступают трикстерами и подталкивают США и РФ к максимальному обострению. А эта Лиз Трасс вообще несёт полный бред, за который надо бы ответить по всем понятиям. Какая нахер Польша? Мы тут под Киевом сидим, какая Молдавия или Прибалтика, если в Харькове до сих пор идут бои? Прошло всего несколько дней. Украины побеждают только в виртуальной войне, а в реале ВСУ оказывает очаговое сопротивление. Переговоры могут быть только о капитуляции и сдаче оружия. Ничего другого им никто не будет предлагать. Некоторые каналы говорят о том, что якобы российская сторона хочет только признания Крыма и ЛДНР. Вы или лжёте или вас обманывают. Крым без херсонской, запорожской и одесской области - это постоянная проблема. Анклав Приднестровья тоже под угрозой. Никаким словам Украины верить нельзя. И это лучше всего понимает сам Путин. Харьков штурмуют не для того, чтобы потом его опять сдать мазепам. Хватит нести чушь! Большинство населения РФ поддерживает сейчас политику по демилитаризации Украины. Путин как раз сейчас на коне. Зачем ему самому себя топить? И то, что послали Мединского на переговоры - это чёткий жест. Он не дипломат и не военный и не силовик. Он может заучить одну фразу и её повторять. С украинской стороны пришлют такого же волнистого попугайчика, только с другим текстом. Мол, уходите, прекращайте огонь. ))) Беседа двух попугайчиков - это штука увлекательная, они выучат новые ругательства. РФ покажет стремление к миру, Украина стремление не сдаваться. Но наступит завтра, в котором город за городом будет переходить под полный контроль российских войск, туда войдёт росгвардия и чеченцы и будут зачищать боевиков. А потом начнётся вторая фаза операции. #ДаПобеде']"
0,62929,0_войска_россию_конфликта_украину,"['войска', 'россию', 'конфликта', 'украину', 'армии', 'обороны', 'военных', 'переговоров', 'переговоры', 'войск']","['Игорь Мальцев, российский писатель, публицист, журналист, автор Telegram-канала @fuckyouthatswhy В Финляндии есть президент — Кай-Йоран Александр Стубб. И вот давеча Стубб поехал в Германию встречаться с канцлером Шольцем. По ходу дела он дал интервью газете Frankfurter Algemeine Zeitung, которое называется «Сейчас единственный путь к миру лежит через поле битвы», опубликованное 9 мая. Ну вы понимаете, про что он. Более того, он не так давно эту формулу уже озвучивал в самой Финляндии, что было негативно воспринято частью финского общества и тем более российским. Всё-таки это наши ближайшие соседи, с которыми есть опыт как конфликта, так и многолетнего очень успешного сотрудничества и мирного взаимовыгодного сосуществования. И в общем, мало кому по обе стороны границы приятно слышать весьма воинственное заявление, направленное непосредственно в адрес России. Но что ещё сказал Стубб в Германии? Вопрос журналиста: «Финляндия имеет границу с Россией протяжённостью более 1,3 тыс. км. Насколько велико ваше беспокойство?» «Я не беспокоюсь. У нас есть тройной замок, который нас защищает. С одной стороны, это наша собственная сила, национальная оборона, которая включает в себя тот факт, что 900 тыс. мужчин и женщин прошли военную подготовку, включая моего сына, который в настоящее время проходит военную службу. Защита также включает в себя нашу истребительную авиацию, современное оружие дальнего действия и мощную артиллерию. У нас также есть устойчивое общество, которое уже много лет знакомо с концепцией всеобъемлющей безопасности. Во-вторых, членство в НАТО защищает нас и, в-третьих, многие двусторонние соглашения в области безопасности и обороны». Так вот, с НАТО и надо было начинать. При всём том, что В. Путин особенно отметил, что даже вступление Финляндии в НАТО не меняет нашего к ней добрососедского отношения, хотя это, конечно, всё неправильно. И что это не делает эту страну автоматически целью наших вооружённых сил ровно до тех пор, пока на этой территории не появятся американские военные базы и не будут размещены определённые виды вооружения. Но вот деталь: именно Александр Стубб был одним из инициаторов подачи заявки Финляндии на вступление в НАТО, когда он был министром иностранных дел. А когда он впервые баллотировался в 2014 году на пост премьер-министра, он обещал активизировать работу по присоединению к НАТО. Таким образом, его можно смело считать самым крупным лоббистом НАТО в стране. Но такого рода деятельность имеет свою железную логику, и просто так вхождение финнов в НАТО теперь требует соответствующей риторики руководства страны, а далее последуют дебаты о том, где должны быть развёрнуты иностранные базы и размещено иностранное же оружие. И это потребует, как говорит наш президент, милитаризации ранее мирной границы. Удивительней всего политическая траектория самого Стубба. Ведь в августе 2008 года, во время конфликта вокруг Южной Осетии, именно он вместе c Саркози был автором плана мирного урегулирования. А потом резко выступил против санкций в отношении России. Зачем Стубб это делает сейчас? Сдаётся, что ряд его политических установок сменился во время его работы заместителем генерального директора Европейского инвестиционного банка, где он отвечал за операции в области кредитования в странах Северной Европы. И в какой-то момент национальные интересы Финляндии для него оказались вторичными, а вот перспектива уехать на какую-то непыльную должность в Европу или Америку, в конце концов, гораздо важней. И тогда хоть атомные ракеты в Миккели пусть стоят. Это весьма распространённая рабочая схема для элит небольших европейских стран. Совершенно антипатриотическая. Сейчас Стубб, по его словам, готовится к участию в так называемой мирной конференции в Швейцарии в июне, а также занимается оборонным сотрудничеством с Украиной по части возможности использования Украиной опыта Финляндии в строительстве убежищ для гражданского населения. Интересно, каких годов эти наработки? Неужто ещё советских? Точка зрения автора может не совпадать с позицией редакции. 🟩 Специально для RT. Подпишись', '#Подборка #новостей #СМИ на утро 4 января 2025г. 🔴Средства ПВО за ночь сбили 16 украинских беспилотников над регионами России, сообщили в Минобороны РФ. 10 БПЛА сбиты над территорией Брянской области, 3 - над территорией Смоленской области и по 1 - над территориями Белгородской, Псковской и Ленинградской областей. 🔴Семья 35-летнейго бойца 39-й гвардейской мотострелковой бригады Андрея Григорьева была удивлена победе штурмовика в рукопашной схватке с солдатом Вооруженных сил Украины (ВСУ) в зоне проведения специальной военной операции (СВО). Об этом мужчина рассказал в интервью RT, беседа опубликована в Telegram-канале телеканала. «Все говорят: мы не думали, что ты такой. Он превосходил тебя, но ты его победил», — рассказал Григорьев. Штурмовик отметил, что видео схватки видели его жена, невестка, друзья и родственники. Отмечается, что у Григорьева есть восемь братьев и сестра. Вместе с женой мужчина воспитывает пятерых детей. По профессии военнослужащий является механиком-водителем. 🔴Представители новой сирийской администрации отказали в рукопожатии главе МИД Германии Анналене Бербок, прибывшей в Сирию с необъявленным визитом, следует из видеозаписи их встречи с немецким министром. Ранее в пятницу Бербок направилась со своим французским коллегой Жан-Ноэлем Барро с необъявленным визитом в Сирию, в Дамаске у них состоялись переговоры с главой новой сирийской администрации Ахмедом Аш-Шараа (более известным как Абу Мухаммед аль-Джулани). 🔴Администрация президента США Джо Байдена не станет пересматривать решение оставить флаги приспущенными на время инаугурации Дональда Трампа, заявила пресс-секретарь Белого дома Карин Жан-Пьер. ""Нет"", — так она ответила журналистам на вопрос о возможной отмене этого решения. Как сообщил сам Трамп, торжественная церемония введения его в должность может впервые в истории пройти с приспущенными флагами из-за траура по случаю смерти президента Джимми Картера. 🔴Россиянам в 2025 году станет сложнее получить кредит на покупку автомобиля. Об этом пишет RG.RU. Теперь большая часть банков будет требовать от заемщиков официальное подтверждение доходов перед предоставлением кредита, несмотря на то, что регулятор не будет требовать от кредиторов обязательного следования этому правилу. Официально подтвердить доходы можно будет в том числе через «Госуслуги». 🔴Глава Евросовета Антониу Кошта считает возможным снизить цены на энергию для промышленности и частных потребителей в Европейском союзе (ЕС). Об этом сообщает ТАСС. По его словам, экономика ЕС будет процветать, если удастся обеспечить энергетическую независимость «путем создания сети безопасных путей снабжения, многообразных источников, надежных партнеров и собственной европейской генерации». Он добавил, что именно таким образом планируется снизить цены на энергию для промышленности, компаний и семей. Кошта также пообещал «сохранить в живых» проект «зеленого перехода» в Евросоюз. 🔴Владимир Зеленский интуитивно хочет сказать правду о том, как закончится конфликт на Украине, заявил подполковник ВС США в отставке Дэниел Дэвис в своем блоге на YouTube. Он прокомментировал заявление Зеленского, который после вопроса о том, как закончится СВО, растерялся, сказав, что не знает, поскольку сегодня эта проблема не стоит у него на повестке дня. ""Это был один из тех моментов, когда правда вышла наружу. <...> Он всегда был осторожен в своих словах, всегда был оптимистичен и позитивен, но когда дело доходит до этого, он начинает запинаться, заикаться, он буквально обрывается на полуслове"", — сказал офицер. По его словам, странная реакция Зеленского объясняется тем, что он на интуитивном уровне не хочет лгать, говоря об обещаниях вернуть Украину к границам 1991 года, но при этом не готов публично признавать территориальные потери. 🚨 Наш сайт: Ветераныроссии.рф @veteranrossii_online', '#Обзорная #Сводка на 8 декабря 2024 года ▪️ Главным международным событием стал крах власти Башара Асада в Сирии. Сборная из протурецких боевиков, джихадистов, террористов, вооруженной проамериканской оппозиции и других интересантов заняла ключевые города и за ночь без сопротивления взяла Дамаск. Асад бежал на самолёте, который пропал с радаров, чем породил множество версий о его судьбе. Для России назвать произошедшее положительным моментом никак нельзя, потому что Сирия была своего рода витриной нашей страны, демонстрирующей готовность гарантированно обеспечить мир вооружённым путём на дальних берегах. Кроме того, не до конца ясно, кто будет контролировать занятую разными группировками территорию и как это повлияет на рост экспорта терроризма в Россию. В период расцвета запрещённого ИГИЛ боевиков там готовили в товарных количествах. За нашей страной, если верить инсайдам товарищей, остаются Тартус и Латакия - там находятся наши военные базы. При этом опыт в Армении показывает, что их дальнейшая судьба в среднесрочной перспективе пока не вполне ясна. ▪️ На украинском треке все помешались на теме переговоров. Скорый приход Трампа в Белый дом заставляет даже Зеленского, запретившего Киеву законодательно вести переговоры с Россией, говорить о перемирии. Москва сохраняет свою позицию, озвученную Верховным: никакого вступления в НАТО Киева, вывод ВСУ с конституционных регионов России. Впрочем, все представители команды Трампа, высказывающие мнения по Украине, также прямо дают понять, что в Североатлантический Альянс Киев никто брать не собирается. Одновременно с этим, Пентагон сообщил о передаче ВСУ вооружений еще на $988 млн, противник заявляет о намерении в 2025 году заполучить и произвести 30 тыс. сверхдальних БПЛА, продолжается развёртывание военных заводов в Европе, которая наращивает темп военных приготовлений. То есть пока что слова о планах Запада устроить переговоры, как обычно, расходятся с его практическими действиями. ▪️ Украина испытывает проблемы с пополнением рядов ВСУ. При этом если Россия набирает добровольцев-контрактников (за исключением категории мобилизованных в 2022 году, эту табуированную тему просто игнорируют, хотя многие мобилизованные уже подписали контракты), то Украина ужесточает формы мобилизации: людей похищают на улицах, избивают и посылают на фронт держать позиции. Официальные лица в Киеве прямо говорят, что Запад принуждает к снижению возраста мобилизации до 18 лет (сейчас - с 25). Тем не менее, ВСУ не бегут, ведут организованную оборону, на наиболее острых для целей Зеленского участка даже контратакуют, хотя эти действия имеют сугубо тактическое значение и проводятся с задействованием малых сил. ▪️ Единственное, что определяет позицию России на международной арене по украинскому кейсу - это сохранение Армией России стратегической инициативы на фронте и продолжающиеся наступательные действия. ▪️ В Курской области наши войска добились успеха в Плёхово, где враг долгое время держал оборону, стараясь избежать выхода наших войск к одному из главному логистическому пути в регионе. Активизированы действия ВС России у Русского и Черкасского поречного, идут тяжёлые кровопролитные бои. ВСУ не щадят свой личный состав и технику, бросая в контратаки редкие танки «Леопард». ▪️ В Харьковской области - бои в Волчанске и на Липцовском направлении. На Купянском направлении ВС России предпринимали действия по созданию плацдармов на правом берегу р. Оскол севернее Купянска. Идут бои в Торецке и Часов Яре, наши войска дом за домом продолжают долгий штурм. ▪️ Покровское направление характеризуется созданием Армией России условий для охвата Покровска (Красноармейска) с юга. Киевские органы власти и учреждения покидают город. Наши войска серьёзно продвинулись, взяв за неделю несколько населённых пунктов южнее города и перекрыв дорогу Покровск-Курахово. Продолжение ниже']"
1,1100,1_вооруженных_боевиков_происходит_ситуация,"['вооруженных', 'боевиков', 'происходит', 'ситуация', 'протесты', 'протестов', 'обстановка', 'нападения', 'властей', 'оппозиции']","['🇳🇬 Что происходит в Нигерии? обстановка за 8-14 февраля 2023 года В Нигерии сохраняется напряженная обстановка на фоне проводимой властями денежной реформы. Для уменьшения протестной активности населения Верховный суд постановил перенести крайний срок отказа от старых банкнот. В стране активны различные бандформирования, совершающие нападения на населенные пункты и военные объекты. В то же время на севере Нигерии увеличилось количество стычек между враждующими группировками. Несмотря на обострение социально-экономических проблем и атаки боевиков, местные власти непреклонны в намерении провести президентские выборы 25 февраля. 🔻Боестолкновения ▪️На севере Нигерии увеличилось количество столкновений между правительственными войсками, «Боко Харам» и местным филиалом «Исламского государства». В северо-восточном штате Борно исламские экстремисты совершили серию нападений на населенные пункты и военные объекты. Одновременно в районе леса Самбиса произошло несколько атак боевиков ИГ на позиции «Боко Харам»: потери обеих сторон составили более 25 человек. ▪️Вооруженные силы Нигерии воспользовались обострением конфликта между радикальными исламистами и нанесли по ним серию ударов, в том числе с применением авиации. Экипаж нигерийского штурмовика Super Tucano уничтожил несколько десятков боевиков «Боко Харам» во время их встречи в лесу Самбиса. В районе города Бама армейские подразделения провели серию операций по уничтожению баз террористов. Они ликвидировали 15 боевиков, освободили несколько десятков пленных и захватили оружие. ▪️Столкновения происходят также в центральных и южных районах Нигерии. Под удар боевиков попали полицейские, военнослужащие и мирные жители в штатах Имо, Риверс и Бенуэ. В районе местного самоуправления Огута штата Имо радикалы разрушили здание суда, а в штате Бенуэ террористы напали на колонну правительственных войск, убив шестерых военнослужащих. 🔻Экономические проблемы ▪️Местные власти продолжают бороться с дефицитом новых банкнот по всей стране. Отдельные очаги протестной активности сохраняются в Лагосе, Абеокуте, Ибадане и Ондо. ▪️Международный валютный фонд призвал федеральное правительство и Центральный банк Нигерии продлить срок действия обмена старых купюр на новые. Позднее Верховный суд Нигерии запретил Центральному банку и правительству прекращать обмен банкнот после 10 февраля. Новый срок обмена будет установлен 15 февраля. ▪️Президент Нигерии Мухаммаду Бухари провел несколько встреч с управляющим Центрального банка Годвином Эмефиле, в ходе которых призвал сделать новые банкноты широко доступными для простого населения. ▪️Правоохранительные структуры провели серию показательных акций по обвинению банков в сокрытии новых купюр. В столичном отделении Sterling Bank были обнаружены свежие банкноты на сумму 258 млн долларов. Представители банка отвергли все обвинения. 🔻Внутриполитическая ситуация ▪️Кандидат в президенты Нигерии Адаму Гарба обвинил правительство в игнорировании экономических проблем и посетовал на возможный срыв запланированных на 25 февраля выборов. ▪️Национальная комиссия университетов санкционировала закрытие образовательных учреждений в преддверии голосования, чтобы позволить студентам участвовать в избирательном процессе. ▪️Неизвестные напали на сторонников популярного у молодежи кандидата от Лейбористской партии Питера Оби во время его митинга в Лагосе. ▪️Представители правящей партии Всепрогрессивного конгресса обвинили военное руководство в сговоре с кандидатом от Народно-демократической партии Атику Абубакаром с целью государственного переворота. Нигерийское командование опровергло обвинения. Карта в большом разрешении English version #Африка #дайджест #Нигерия @rybar *Поддержать нас: 5536 9141 9147 4885', '🇳🇬 Что происходит в Нигерии? обстановка за 15-22 февраля 2023 года Через три дня в Нигерии должны состояться президентские выборы. Кампании кандидатов проходят в условиях повсеместной нестабильности. В разных частях страны возникают акции протеста на фоне дефицита новых банкнот и экономического кризиса: местные жители требуют провести справедливый обмен, тогда как руководство Нигерии выводит из обращения старые купюры. 🔻Боестолкновения ▪️Исламские экстремисты совершили серию нападений на административные здания, военные объекты и населенные пункты в различных регионах страны. Правительственные войска проводят ответные операции по выявлению и уничтожению радикалов. В штате Анамбра боевики напали на полицейский участок, используя огнестрельное оружие и самодельные взрывные устройства. Уничтожены патрульные автомобили, не менее трех правоохранителей погибли. Прибывшие в зону инцидента подразделения ВС Нигерии ликвидировали троих террористов. Представители повстанческого движения «Коренные народы Биафры» сожгли дома комиссара Эмеки Окоронкво и экс-директора департамента службы безопасности в штате Имо. Боевики местного филиала «Исламского государства» атаковали военную базу в районе города Бани Яди в штате Йобе. Правительственные войска отбили нападение, радикальные исламисты с потерями отступили. Существенных разрушений на объекте не зафиксировано. ▪️В преддверии президентских выборов антиправительственные силы организовали несколько нападений на местных политиков. В штате Лагос радикалы застрелили Тойина Адениджи — одного из региональных лидеров Народно-демократической партии. Аналогичное нападение произошло в штате Осун, где был убит член партии Всепрогрессивного конгресса Эбенезер Аларо. 🔻Экономические проблемы ▪️Дефицит топлива и новых банкнот привел к дестабилизации ситуации в разных частях страны. Местные жители повсеместно выходят на улицы, требуя правительство решить проблемы в экономике. Постепенно беспорядки перекидываются на небольшие населенные пункты. Протестные акции прошли в Бенин-Сити, Лагосе, Илорине, Шагаму, Икороду, Варри и других городах. Демонстранты бросают на дорогу сожженные шины, громят банки и участвуют в столкновениях с правоохранительными органами. ▪️Силы безопасности проводят рейды, направленные на выявление зачинщиков и активных участников протестов: по всей Нигерии за предыдущую неделю задержаны более 150 граждан. Одновременно с этим в министерстве внутренних дел страны заявили, что все задержанные у поврежденных отделений банков будут наказаны за вооруженный грабеж. ▪️Верховный суд инициировал рассмотрение иска о законности установления Центральным банком страны крайнего срока для обмена старых банкнот на новые. ▪️Главы нескольких штатов, в том числе Лагоса и Кано, пригрозили закрыть любое финансовое учреждение, которое будет отвергать купюры старого образца, ссылаясь на постановления президента Мухаммаду Бухари. ▪️Сотрудники Центрального банка Нигерии организовали раздачу новых банкнот в формате «от двери до двери» для жителей сельской местности в наиболее подверженным протестам штатах. 🔻Внутриполитическая ситуация ▪️Лидеры президентской гонки в Нигерии провели свои заключительные митинги. Кандидат от правящей партии Всепрогрессивного конгресса Ахмеду Тинубу проехал на двухэтажном автобусе по улицам Лагоса. В Йоле аналогичную манифестацию провел кандидат от Народно-демократической партии Атику Абубакар. Питер Оби, выступил с обращением в социальных сетях, однако его сторонники также прошли маршем по улицам Абуджи. ▪️По данным последнего предвыборного опроса, в президентской гонке лидирует Атику Абубакар с 38% голосами респондентов. Ахмеду Тинубу получил 29% голосов, а Питер Оби — 27%. ▪️Главы служб безопасности Нигерии провели встречу, по итогам которой заверили нигерийцев в обеспечении высокого уровня безопасности на президентских выборах. Карта в большом разрешении English version #Африка #дайджест #Нигерия @rybar *Поддержать нас: 5536 9141 9147 4885', '🇲🇱🇧🇫🇳🇪 Обстановка в странах Сахеля по состоянию на 21 декабря 2022 года Ситуация на приграничных территориях между Нигером, Мали и Буркина-Фасо остаётся крайне тяжелой. Боевики «Исламского государства» и «Аль-Каиды» ведут бои за влияние в районе так называемых Трёх границ. Террористы рассчитывают получить контроль над контрабандой золота и оружия, а также расширить свою экспансию в сторону Гвинейского залива. В начале декабря мир облетели кадры присяги боевиков «Исламского государства в Великой Сахаре» новому лидеру ИГ. 🔻Мали Продолжаются бои между «Исламским государством в Великой Сахаре» и «Джамаат Наср аль-Ислам валь Муслимин» (аффилирована с «Аль-Каидой») в районе границы с Буркина-Фасо и Нигером. ▪️После недавних столкновений в регионе Гао, в ИГ заявили об уничтожении более 100 боевиков «Аль-Каиды». Другая сторона всё отрицает и заявляет о собственной победе, публикуя в качестве доказательства кадры с трофейными оружием и техникой. Во время боя между группировками ВВС Мали нанесли удар по позициям боевиков, уничтожив часть из них. ▪️В преддверии обновления мандата миссии ООН в Мали глава миротворческих операций Жан-Пьер Лакруа прибыл в Бамако для встречи с президентом переходного периода Мали полковником Ассими Гойта. Однако прийти к конкретным решениям им не удалось. Малийский лидер подчеркнул, что будущее миссии будет зависеть от пересмотра стратегии и улучшения координации с национальной армией. В свою очередь ООН ведёт поиски замены вышедшим из страны контингентам. ▪️Германия сохранит свое военное присутствие в Мали до окончания переходного периода в 2024 году. Об этом заявила министр обороны Кристин Ламбрехт после встречи со своим малийским коллегой полковником Садио Камара. На данный момент около 1100 немецких солдат находятся на территории страны в рамках миротворческой миссии ООН в Мали. 🔻Буркина-Фасо Террористы продолжают совершать регулярные нападения в разных частях страны. За последние две недели было убито 37 мирных жителей, двое военнослужащих и двое полицейских. Согласно заявлению вооружённых сил Буркина-Фасо в результате 10-дневной операции в приграничном регионе Банва на северо-западе было ликвидировано 39 боевиков. Один военнослужащий погиб. ▪️В попытке заручиться поддержкой России в борьбе с террористами премьер-министр Буркина-Фасо Аполлинер Иоахим Кьель де Тамбела посетил Москву с тайным визитом. Поездка даже стала причиной дипломатического скандала, когда президент Ганы на саммите США-Африка в Вашингтоне обвинил власти Буркина-Фасо в сотрудничестве с российской ЧВК «Вагнер». Буркина-Фасо вызвала посла Ганы для «объяснений», а также отозвала своего посла из Ганы для «консультаций». ▪️Команде Рыбаря удалось подтвердить, что сотрудники ЧВК «Вагнер» действительно находятся на территории Буркина-Фасо, а переговоры близки к завершению. Позднее было опубликовано интервью, в котором премьер заявил, что приехал в Москву с целью переговоров по укреплению сотрудничества между странами. 🔻Нигер Несмотря на международную поддержку, в первую очередь войск Франции, группировки продвигаются вглубь страны. Местные силы оказались не способны противостоять растущей угрозе. ▪️Активность боевиков вынудила власти ввести комендантский час в регионе Тиллабери. Правительство опасается, что террористы подступают к столице страны, находящейся в том же регионе. ▪️На прошлой неделе в ЕС объявили о развёртывании военной миссии в Нигере в начале следующего года. Основное внимание будет уделено обучению и логистике. О своём участии уже заявили в Германии: в Берлине планируют направить 200-250 своих военнослужащих. Немецкие инструкторы обучают спецназ в Нигере с 2018 года. Инфографика в большом разрешении English version Version française #дайджест #Африка #Сахель #Мали #БуркинаФасо #Нигер @rybar *Поддержать нас: 5536 9141 9147 4885']"
