topic_id,before_n,after_n,before_share,after_share,delta_share,abs_delta_share,topic_name,scenario,before_start,before_end,after_start,after_end,n_days_after
0,60309,2620,0.3890551821125834,0.39787395596051633,0.008818773847932948,0.008818773847932948,0_войска_россию_конфликта_украину,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
6,257,49,0.0016579147689886075,0.007441154138192863,0.005783239369204255,0.005783239369204255,6_мирным_кремле_прекращении_кремль,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
-1,88456,3735,0.5706323299830983,0.5671981776765376,-0.003434152306560745,0.003434152306560745,-1_украину_украинских_говорит_украина,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
28,80,23,0.0005160824183622125,0.003492786636294609,0.0029767042179323962,0.0029767042179323962,28_угрозы_угроз_угрозу_флота,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
2,447,0,0.0028836105125988622,0.0,-0.0028836105125988622,0.0028836105125988622,2_грузии_власть_оппозиции_правящей,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
1,1039,61,0.006702620408479234,0.009263477600607441,0.002560857192128207,0.002560857192128207,1_вооруженных_боевиков_происходит_ситуация,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
3,415,4,0.002677177545253977,0.0006074411541381929,-0.0020697363911157843,0.0020697363911157843,3_отставку_отставки_переворот_оппозиции,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
24,98,17,0.0006322009624937102,0.0025816249050873196,0.0019494239425936093,0.0019494239425936093,24_крыму_крым_крыма_россию,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
7,272,0,0.0017546802224315224,0.0,-0.0017546802224315224,0.0017546802224315224,7_турции_выборов_выборах_выборы,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
5,318,2,0.0020514276129897945,0.00030372057706909645,-0.001747707035920698,0.001747707035920698,5_доверие_доверия_неделю_плохо,v1_fixed_2022_to_cutoff,2022-02-24,2026-01-15,2026-01-16,2026-04-24,99
